weather,city,scenario,time_slice,severity,weather_year,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.05,equal_zone_mean,16704,16686,16704,16686,16704,0,18,18,99.89224137931035,100.0,0.10775862068965747,0.10775862068965517,0.9989224137931034
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.05,area_weighted_mean,16704,16691,16704,16691,16704,0,13,13,99.92217432950191,100.0,0.07782567049808842,0.07782567049808428,0.9992217432950191
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.05,zone_p90,16704,16700,16704,16700,16704,0,4,4,99.97605363984674,100.0,0.023946360153259683,0.023946360153256702,0.9997605363984674
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.05,any_zone,16704,16704,16704,16704,16704,0,0,0,100.0,100.0,0.0,0.0,1.0
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.06,equal_zone_mean,16704,16021,16704,16021,16704,0,683,683,95.91115900383141,100.0,4.088840996168585,4.0888409961685825,0.9591115900383141
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.06,area_weighted_mean,16704,15896,16704,15896,16704,0,808,808,95.16283524904215,100.0,4.837164750957856,4.837164750957855,0.9516283524904214
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.06,zone_p90,16704,16527,16704,16527,16704,0,177,177,98.94037356321839,100.0,1.0596264367816133,1.059626436781609,0.9894037356321839
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.06,any_zone,16704,16617,16704,16617,16704,0,87,87,99.47916666666666,100.0,0.520833333333337,0.5208333333333333,0.9947916666666666
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.07,equal_zone_mean,16704,13871,16317,13850,16338,21,2467,2488,83.03999042145594,97.68318965517241,14.643199233716475,14.894636015325672,0.8477169788223773
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.07,area_weighted_mean,16704,13302,16331,13276,16357,26,3055,3081,79.63362068965517,97.76700191570882,18.133381226053647,18.444683908045977,0.8116402763342911
