model,event,metric,n,mean,sd,min,p05_approx,p50_approx,p90_approx,p95_approx,p99_approx,max,histogram_resolution
no_pmv_ordinal,broad_tail,any_zone,2405376,0.20483604517342838,0.14532433725620136,0.04767086197974421,0.07755,0.13695,0.46185,0.51145,0.55395,0.9130434782608695,0.0001
no_pmv_ordinal,broad_tail,area_weighted_mean,2405376,0.11562101836190977,0.07627374041811472,0.044233159513961,0.05665,0.08635,0.23145,0.29565,0.39785,0.8476272044293058,0.0001
no_pmv_ordinal,broad_tail,cold_area,2405376,0.025616946212003444,0.007408639372989794,0.0,0.01445,0.02655,0.03165,0.03835,0.05125,0.09105557016130185,0.0001
no_pmv_ordinal,broad_tail,cold_equal,2405376,0.025558513574910822,0.007832386228304532,0.0,0.01405,0.02585,0.03325,0.03985,0.05335,0.0983385352283991,0.0001
no_pmv_ordinal,broad_tail,equal_zone_mean,2405376,0.12072983710512472,0.08072286207726598,0.04130847300582361,0.05585,0.08775,0.24395,0.31445,0.40445,0.8581860867812257,0.0001
no_pmv_ordinal,broad_tail,warm_area,2405376,0.0900040721499063,0.081171109026539,0.012424544445784438,0.02565,0.05905,0.21435,0.28025,0.38595,0.8476272044293058,0.0001
no_pmv_ordinal,broad_tail,warm_equal,2405376,0.0951713235302139,0.08593836244801649,0.009131631728361659,0.02395,0.06085,0.22715,0.30015,0.39245,0.8581860867812257,0.0001
no_pmv_ordinal,broad_tail,zone_p90,2405376,0.17130908791439775,0.1261964892387202,0.04555465066228404,0.06555,0.10785,0.38485,0.45545,0.54375,0.9130434782608695,0.0001
nominal,broad_tail,any_zone,2405376,0.20828446753227908,0.1448131476747814,0.049142506238169986,0.07705,0.13105,0.44995,0.48435,0.56005,0.9015904033002226,0.0001
nominal,broad_tail,area_weighted_mean,2405376,0.12270055060293672,0.08571533017114537,0.04213052102763003,0.06745,0.08845,0.24725,0.35045,0.43435,0.8086943582700965,0.0001
nominal,broad_tail,cold_area,2405376,0.029994903102744424,0.011236568731476994,0.0,0.01475,0.03125,0.04205,0.04455,0.06595,0.11316268600706895,0.0001
nominal,broad_tail,cold_equal,2405376,0.029447288154700924,0.010519814462223519,0.0,0.01465,0.03015,0.04175,0.04435,0.05615,0.11463581012218291,0.0001
nominal,broad_tail,equal_zone_mean,2405376,0.127281384772408,0.08877127938879183,0.03822107092488494,0.06585,0.08995,0.26475,0.35755,0.43205,0.8072776730341021,0.0001
nominal,broad_tail,warm_area,2405376,0.0927056475001923,0.0918244061555267,0.014134683396348432,0.03055,0.05705,0.22835,0.33375,0.42275,0.8086943582700965,0.0001
nominal,broad_tail,warm_equal,2405376,0.09783409661770703,0.09510400651019855,0.009347305747294065,0.02965,0.05915,0.24625,0.34185,0.42075,0.8072776730341021,0.0001
nominal,broad_tail,zone_p90,2405376,0.17787438768616257,0.13101281189683184,0.04143715296398521,0.07285,0.11345,0.40975,0.45095,0.51505,0.8481625976951783,0.0001
nominal,outermost,any_zone,2405376,0.0636455643021775,0.0545778835596684,0.005346025194690476,0.01625,0.04395,0.14115,0.18125,0.20645,0.6763787815872032,0.0001
nominal,outermost,area_weighted_mean,2405376,0.02928002817773293,0.023597978227815713,0.005192763567825601,0.01165,0.02035,0.05715,0.08375,0.12485,0.29663658798212744,0.0001
nominal,outermost,cold_area,2405376,0.00267195702991387,0.0005409215410823859,0.0,0.00235,0.00255,0.00295,0.00335,0.00475,0.01901598520680592,0.0001
nominal,outermost,cold_equal,2405376,0.002658111887906474,0.0005413052967549944,0.0,0.00225,0.00255,0.00305,0.00335,0.00465,0.017756829500133967,0.0001
nominal,outermost,equal_zone_mean,2405376,0.03134528431938553,0.025512196319779155,0.005128369089729607,0.01035,0.02155,0.06505,0.09055,0.12515,0.2997800600157878,0.0001
nominal,outermost,warm_area,2405376,0.026608071147819087,0.023768708072947762,0.002409723748703127,0.00885,0.01765,0.05455,0.08125,0.12315,0.2966365879821274,0.0001
nominal,outermost,warm_equal,2405376,0.028687172431479082,0.025727117044414563,0.001912995783644022,0.00735,0.01885,0.06255,0.08825,0.12385,0.2997800600157878,0.0001
nominal,outermost,zone_p90,2405376,0.05063717766538898,0.04521459936784225,0.00529235963621238,0.01455,0.03325,0.13195,0.14195,0.18425,0.4673252948933486,0.0001
ordinal,broad_tail,any_zone,2405376,0.19562410159812232,0.13999953558167377,0.04657971949724008,0.06905,0.12665,0.41985,0.45065,0.62035,1.0,0.0001
ordinal,broad_tail,area_weighted_mean,2405376,0.11087493339172817,0.07274399564919388,0.04068827225303819,0.05775,0.08165,0.22655,0.29195,0.36315,0.7744069036398638,0.0001
ordinal,broad_tail,cold_area,2405376,0.027369640225488354,0.009068115053030788,0.0,0.01415,0.02995,0.03525,0.03595,0.05375,0.10077514051960366,0.0001
ordinal,broad_tail,cold_equal,2405376,0.027217782726702538,0.008866766730766773,0.0,0.01335,0.02915,0.03535,0.03685,0.05205,0.0961463024626041,0.0001
ordinal,broad_tail,equal_zone_mean,2405376,0.1155773169779607,0.07677223287234808,0.038422744242591116,0.05685,0.08345,0.23775,0.30415,0.37405,0.7742226928622927,0.0001
ordinal,broad_tail,warm_area,2405376,0.08350529316623982,0.0789734682993702,0.010471148842231952,0.02345,0.05295,0.20975,0.27765,0.35305,0.7744069036398638,0.0001
ordinal,broad_tail,warm_equal,2405376,0.08835953425125827,0.08324133539012972,0.009330515617271405,0.02215,0.05485,0.22125,0.29115,0.36385,0.7742226928622927,0.0001
ordinal,broad_tail,zone_p90,2405376,0.16389108129611,0.121906208712457,0.043516483516483545,0.06305,0.10125,0.36705,0.40775,0.52895,0.7945205479452054,0.0001
ordinal,outermost,any_zone,2405376,0.05660696911110063,0.05369318186181023,0.0048013649797836976,0.01545,0.03025,0.13565,0.17965,0.19725,0.7058823529411765,0.0001
ordinal,outermost,area_weighted_mean,2405376,0.024592870034708003,0.01739804316867046,0.0047331483418176275,0.01105,0.01865,0.04375,0.05895,0.09875,0.43966241422794505,0.0001
ordinal,outermost,cold_area,2405376,0.0025197037702204272,0.0004927301436224399,0.0,0.00185,0.00265,0.00265,0.00295,0.00375,0.012895813890353327,0.0001
ordinal,outermost,cold_equal,2405376,0.0025222917116534877,0.0005509517663617741,0.0,0.00165,0.00265,0.00265,0.00315,0.00425,0.015332100855136558,0.0001
ordinal,outermost,equal_zone_mean,2405376,0.026517859034402357,0.020376953018591173,0.004667530260228607,0.00945,0.01945,0.05215,0.06735,0.10605,0.5048175492966305,0.0001
ordinal,outermost,warm_area,2405376,0.022073166264487565,0.01775129524928035,0.002008257494801413,0.00825,0.01595,0.04145,0.05695,0.09815,0.43966241422794505,0.0001
ordinal,outermost,warm_equal,2405376,0.023995567322748847,0.020758637016403566,0.0009967510149160802,0.00645,0.01685,0.04985,0.06565,0.10555,0.5048175492966305,0.0001
ordinal,outermost,zone_p90,2405376,0.04383421858931386,0.04194544996172213,0.0048013649797836976,0.01295,0.02625,0.10685,0.13545,0.18965,0.698644626828273,0.0001
stored_ordinal,broad_tail,any_zone,2405376,0.19692693221549976,0.1401630272323841,0.04657971949724,0.06905,0.12665,0.41985,0.45065,0.62035,1.0,0.0001
stored_ordinal,broad_tail,area_weighted_mean,2405376,0.11188348488405979,0.0736193942875134,0.04068827225303813,0.05805,0.08215,0.23005,0.29445,0.36545,0.7744069036398635,0.0001
stored_ordinal,broad_tail,equal_zone_mean,2405376,0.11652894834045269,0.07760249753355813,0.03867963260744012,0.05705,0.08385,0.24095,0.30625,0.37715,0.7742226928622927,0.0001
stored_ordinal,broad_tail,zone_p90,2405376,0.16507137218545923,0.12229258382092206,0.0435164835164835,0.06445,0.10275,0.36705,0.40895,0.52945,0.7945205479452054,0.0001
