group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,no_pmv_ordinal,broad_tail,0.05,2405376,36080640,2320781.236066868,34558157,2385859,2396519,2402846,2405340,19481,16992,99.18860918209876,99.63178313910174,99.89481893891018,99.99850335249042,0.809894170391656,0.7064176245210728,96.48309603433593,95.78033261050801
global,no_pmv_ordinal,broad_tail,0.06,2405376,36080640,1909257.669147504,29109900,2182267,2201430,2302919,2362038,179771,120678,90.72456863292891,91.52124241698594,95.74049961419753,98.19828583971902,7.473717206790123,5.017011893358876,79.3746037687041,80.68010988718603
global,no_pmv_ordinal,broad_tail,0.07,2405376,36080640,1881975.163036737,28725324,1917569,1853256,2254834,2359297,441728,337265,79.7201352304172,77.04641602809707,93.74143585036185,98.0843327612814,18.3641975308642,14.021300619944657,78.24037335687797,79.61423078969774
global,no_pmv_ordinal,broad_tail,0.08,2405376,36080640,1387780.579411864,21011756,1481467,1440402,2027871,2223176,741709,547155,61.589830446466586,59.88261294699873,84.305780052682,92.42530065985525,30.835470213388678,22.747171336206897,57.69495411161765,58.23554127642968
global,no_pmv_ordinal,broad_tail,0.09,2405376,36080640,853142.0194833993,13138404,1141684,1097671,1494998,1741172,599488,355997,47.46384764793529,45.63407134684972,62.152362042358455,72.38668715410813,24.92283950617284,14.800056207428694,35.468135521573316,36.41399930821626
global,no_pmv_ordinal,broad_tail,0.1,2405376,36080640,686253.1317994692,10731366,938706,860000,1318673,1571552,632846,380608,39.02533325351214,35.75324606215411,54.82190726106854,65.33498297147723,26.30964971796509,15.823222647935292,28.529973351337556,29.74272629310345
global,no_pmv_ordinal,broad_tail,0.11,2405376,36080640,638328.5131478326,10038184,796570,703133,1177998,1460408,663838,381499,33.11623629736058,29.2317292597914,48.973549249680715,60.71433322690507,27.598096929544486,15.860264673797362,26.537577208213293,27.821524230168865
global,no_pmv_ordinal,broad_tail,0.12,2405376,36080640,522872.85412037675,8329844,695642,597635,1041912,1283441,587799,346304,28.920301857173264,24.84580373297148,43.31597222222222,53.357188231694344,24.436886374521073,14.39708386547467,21.737676526263535,23.086741255144034
global,no_pmv_ordinal,broad_tail,0.13,2405376,36080640,502820.92907135206,8096375,619401,525901,979014,1229960,610559,359615,25.750693446679442,21.8635672759685,40.70107958173691,51.13379363558961,25.383100188910174,14.950469282141338,20.9040469794058,22.43966570437775
global,no_pmv_ordinal,broad_tail,0.14,2405376,36080640,469792.7351646563,7626102,557983,475446,927533,1160247,602264,369550,23.197329648254577,19.765974217752238,38.56083206949766,48.235577306832695,25.038247658578115,15.363502421243084,19.530947975063203,21.136271418688803
global,no_pmv_ordinal,broad_tail,0.15,2405376,36080640,430859.59535666066,7016961,504474,439362,884528,1084253,579779,380056,20.972770992975732,18.26583453065134,36.77296189868029,45.07623756119625,24.10346656822052,15.80027405278842,17.912359454682374,19.447994824925498
