model,component,bin_left,bin_right,n,mean_predicted_probability,observed_frequency,absolute_calibration_error,binomial_se
ordinal,outermost,0.0,0.01,2088,0.0053134079382250315,0.007662835249042145,0.0023494273108171137,0.001908354816546769
ordinal,outermost,0.01,0.025,7125,0.017110116701113925,0.01726315789473684,0.0001530411936229159,0.0015430724090405503
ordinal,outermost,0.025,0.05,6549,0.03420567833746501,0.03145518399755688,0.0027504943399081286,0.002156842736619426
ordinal,outermost,0.05,0.075,2288,0.06236980747492958,0.056818181818181816,0.005551625656747765,0.004839643438916442
ordinal,outermost,0.075,0.1,1057,0.08237483194889246,0.08420056764427625,0.0018257356953837872,0.008541225756279545
ordinal,outermost,0.1,0.15,1028,0.12100337535953969,0.10894941634241245,0.012053959017127233,0.00971778029755443
ordinal,outermost,0.15,0.2,913,0.18417989785588523,0.1982475355969332,0.014067637741047967,0.01319437009560511
ordinal,outermost,0.2,0.3,366,0.2580973347058132,0.2896174863387978,0.031520151632984605,0.02370925886938482
ordinal,outermost,0.3,0.5,518,0.37430614249602223,0.35135135135135137,0.02295479114467086,0.020975421324015003
ordinal,outermost,0.5,1.0,291,0.6663077160377946,0.7044673539518901,0.03815963791409549,0.02674771411165844
ordinal,cold_endpoint,0.0,0.01,12532,0.002311897129254804,0.0026332588573252476,0.0003213617280704434,0.00045778759979246323
ordinal,cold_endpoint,0.01,0.025,6371,0.015701660917746458,0.01506827813530058,0.0006333827824458772,0.0015262689669769953
ordinal,cold_endpoint,0.025,0.05,1785,0.036303064314047485,0.036414565826330535,0.00011150151228304928,0.00443367210150314
ordinal,cold_endpoint,0.05,0.075,810,0.06562609999250754,0.07407407407407407,0.008447974081566528,0.009201925833332469
ordinal,cold_endpoint,0.075,0.1,81,0.07786418654790592,0.07407407407407407,0.003790112473831847,0.029099044493273562
ordinal,cold_endpoint,0.1,0.15,172,0.12207394872542887,0.10465116279069768,0.01742278593473119,0.023340166112735213
ordinal,cold_endpoint,0.15,0.2,160,0.17227272727272727,0.14375,0.028522727272727283,0.027736025479058818
ordinal,cold_endpoint,0.2,0.3,50,0.2929337520824171,0.24,0.05293375208241713,0.060398675482166
ordinal,cold_endpoint,0.3,0.5,115,0.33205153512085767,0.2782608695652174,0.05379066555564027,0.04178950960874464
ordinal,cold_endpoint,0.5,1.0,147,0.6280535917004277,0.6666666666666666,0.03861307496623889,0.038880789567986955
ordinal,warm_endpoint,0.0,0.01,9209,0.003826765931627226,0.002714735584754045,0.0011120303468731812,0.0005422096371654881
ordinal,warm_endpoint,0.01,0.025,5929,0.015942988607344295,0.014673638050261426,0.0012693505570828684,0.0015615943431853446
ordinal,warm_endpoint,0.025,0.05,2754,0.03400939406475277,0.034858387799564274,0.0008489937348115026,0.003495161122284067
ordinal,warm_endpoint,0.05,0.075,1261,0.062110749430492156,0.05313243457573354,0.008978314854758612,0.006316360876946968
ordinal,warm_endpoint,0.075,0.1,694,0.07969307795818466,0.08213256484149856,0.002439486883313899,0.010422404834176113
ordinal,warm_endpoint,0.1,0.15,829,0.11804528977953957,0.11097708082026538,0.007068208959274194,0.01090927430242922
ordinal,warm_endpoint,0.15,0.2,770,0.18572416259119226,0.2038961038961039,0.01817194130491165,0.014519243062453856
ordinal,warm_endpoint,0.2,0.3,247,0.2660015377814692,0.30364372469635625,0.03764218691488708,0.029258322678289015
ordinal,warm_endpoint,0.3,0.5,387,0.3877966415705856,0.37467700258397935,0.01311963898660623,0.02460510578716502
ordinal,warm_endpoint,0.5,1.0,143,0.7055440273958368,0.7412587412587412,0.03571471386290448,0.03662264763836294
ordinal,broad_tail,0.01,0.025,152,0.017080800942529055,0.013157894736842105,0.00392290620568695,0.009242623140608822
ordinal,broad_tail,0.025,0.05,872,0.03958207306350302,0.02981651376146789,0.009765559302035126,0.005759663725030818
ordinal,broad_tail,0.05,0.075,1895,0.0664042011971969,0.06649076517150396,8.656397430706342e-05,0.005723153148590611
ordinal,broad_tail,0.075,0.1,2126,0.08702458840470659,0.07714016933207903,0.009884419072627562,0.005786640939435071
ordinal,broad_tail,0.1,0.15,4652,0.12400319834008165,0.11500429922613929,0.00899889911394236,0.004677435047241343
ordinal,broad_tail,0.15,0.2,4251,0.17499834490921357,0.16254998823806163,0.012448356671151933,0.0056588393550999865
ordinal,broad_tail,0.2,0.3,4277,0.243756402877651,0.25251344400280573,0.008757041125154741,0.006643154003449616
ordinal,broad_tail,0.3,0.5,2586,0.3682633265868972,0.3882443928847641,0.01998106629786689,0.009583569907533679
ordinal,broad_tail,0.5,1.0,1412,0.6692787692777984,0.6671388101983002,0.002139959079498155,0.012540716071220318
nominal,outermost,0.0,0.01,2540,0.005819024713942669,0.00826771653543307,0.002448691821490402,0.0017966900230332562
nominal,outermost,0.01,0.025,6450,0.016424669255982238,0.015503875968992248,0.0009207932869899904,0.0015383221403809089
nominal,outermost,0.025,0.05,7034,0.03570401469072241,0.03326698891100369,0.0024370257797187156,0.0021382517645133687
nominal,outermost,0.05,0.075,1883,0.06391667668825014,0.056293149229952204,0.007623527458297939,0.00531154868485761
nominal,outermost,0.075,0.1,1088,0.08879873913340271,0.08088235294117647,0.007916386192226232,0.008266049335759437
nominal,outermost,0.1,0.15,1252,0.1227127490456315,0.1062300319488818,0.0164827170967497,0.008708319819247464
nominal,outermost,0.15,0.2,658,0.18243591745637258,0.22492401215805471,0.04248809470168213,0.016277102762332393
nominal,outermost,0.2,0.3,500,0.24453435067668428,0.268,0.02346564932331574,0.0198078772209442
nominal,outermost,0.3,0.5,546,0.3791955263785536,0.33882783882783885,0.04036768755071474,0.020255851343961625
nominal,outermost,0.5,1.0,272,0.6965464768236884,0.7389705882352942,0.042424111411605736,0.026630164367857524
nominal,cold_endpoint,0.0,0.01,12495,0.002216845062921702,0.002961184473789516,0.0007443394108678138,0.0004860944187477484
nominal,cold_endpoint,0.01,0.025,5139,0.013720209579291319,0.012259194395796848,0.0014610151834944709,0.001535016877521455
nominal,cold_endpoint,0.025,0.05,2940,0.030683569226392118,0.0326530612244898,0.001969491998097681,0.0032777771014706
nominal,cold_endpoint,0.05,0.075,773,0.06597539370392717,0.055627425614489,0.010347968089438171,0.008243780448639642
nominal,cold_endpoint,0.075,0.1,350,0.0927430018555452,0.08285714285714285,0.009885858998402344,0.014734976536380937
nominal,cold_endpoint,0.1,0.15,54,0.11645336134386465,0.1111111111111111,0.005342250232753545,0.042766686606638946
nominal,cold_endpoint,0.15,0.2,178,0.18550622043823073,0.20786516853932585,0.022358948101095122,0.030414481346020608
nominal,cold_endpoint,0.2,0.3,32,0.20959904133858623,0.21875,0.009150958661413772,0.07307924583542855
nominal,cold_endpoint,0.3,0.5,148,0.39222619618180243,0.28378378378378377,0.10844241239801866,0.03705825835717565
nominal,cold_endpoint,0.5,1.0,114,0.7085155302426621,0.7280701754385965,0.019554645195934417,0.041673753264948286
nominal,warm_endpoint,0.0,0.01,9891,0.0040849063726360706,0.002527550298250935,0.0015573560743851354,0.0005048708044061564
nominal,warm_endpoint,0.01,0.025,4770,0.014692305021310975,0.01740041928721174,0.002708114265900766,0.001893254310947301
nominal,warm_endpoint,0.025,0.05,3721,0.03737647178083622,0.030905670518677774,0.0064708012621584494,0.002837084534493759
nominal,warm_endpoint,0.05,0.075,840,0.06783625458989784,0.06190476190476191,0.005931492685135931,0.008314685971669176
nominal,warm_endpoint,0.075,0.1,670,0.09285649294799792,0.0880597014925373,0.004796791455460608,0.010947990374137745
nominal,warm_endpoint,0.1,0.15,912,0.12638024323947947,0.11403508771929824,0.012345155520181228,0.010525193589509691
nominal,warm_endpoint,0.15,0.2,485,0.1823408680966417,0.22061855670103092,0.03827768860438921,0.01882891005600931
nominal,warm_endpoint,0.2,0.3,398,0.2548088556974459,0.2638190954773869,0.009010239779941032,0.02209041382050155
nominal,warm_endpoint,0.3,0.5,379,0.376431439633026,0.36939313984168864,0.007038299791337355,0.024791577006061147
