weather,city,scenario,time_slice,severity,weather_year,trace_path,file_bytes,file_mtime_ns,analysis_state_sha256,occupied_steps,reused_previous_state_inference,corrected_zone_npz,corrected_zone_npz_sha256
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,checksum-only://simulation_traces/ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029_diagnostic_reference.csv,70438382,1781602368380151712,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,16704,False,checksum-only://corrected_zone_npz/9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8.npz,0cf67037a4b42ef8456615c69e0df2aa1c9b8229da54eb27c094e5c99e31ebbb
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,checksum-only://simulation_traces/ahmedabad_ssp245_baseline_2020s_hot_2029_diagnostic_reference.csv,69982862,1781602426224107696,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,16704,True,checksum-only://corrected_zone_npz/9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8.npz,0cf67037a4b42ef8456615c69e0df2aa1c9b8229da54eb27c094e5c99e31ebbb
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,checksum-only://simulation_traces/ahmedabad_ssp245_baseline_2020s_typical_2025_diagnostic_reference.csv,70209708,1781602487183336718,230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611,16704,False,checksum-only://corrected_zone_npz/230f4d3a6394e63152852cb7bb21641d03e0d52a1c8304ce6b3cf4bed5a3c611.npz,b645bca5459247244c292898204a934b75d5f3b6f6a91660cb8a015febe367fa
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,checksum-only://simulation_traces/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081_diagnostic_reference.csv,70300414,1781602546130400455,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,16704,False,checksum-only://corrected_zone_npz/938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da.npz,2b1bf7ff7c628aa9e67a1e42d0dd2f1be215c15d62eb222f8dd1375e9f54c62a
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,checksum-only://simulation_traces/ahmedabad_ssp245_late_2080s_hot_2081_diagnostic_reference.csv,69844894,1781602605928249799,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,16704,True,checksum-only://corrected_zone_npz/938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da.npz,2b1bf7ff7c628aa9e67a1e42d0dd2f1be215c15d62eb222f8dd1375e9f54c62a
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,checksum-only://simulation_traces/ahmedabad_ssp245_late_2080s_typical_2086_diagnostic_reference.csv,70053408,1781602665177356202,684693e80f1e7728fba0439ed5181649bf62b91ae747fb1c452c76be2c2cb689,16704,False,checksum-only://corrected_zone_npz/684693e80f1e7728fba0439ed5181649bf62b91ae747fb1c452c76be2c2cb689.npz,91d62ffd987232ad36d54234218c9ac6cdb3ddb4d6fa75475b06d99e9d11195e
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,checksum-only://simulation_traces/ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059_diagnostic_reference.csv,70290436,1781602724222723771,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,16704,False,checksum-only://corrected_zone_npz/fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3.npz,3f3ff89abf5b06d21a69565d0c98b8457fc991006512d8e4d0fc096212487cb5
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,checksum-only://simulation_traces/ahmedabad_ssp245_mid_2050s_hot_2059_diagnostic_reference.csv,69834916,1781602783049984688,fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3,16704,True,checksum-only://corrected_zone_npz/fb6d6335ff6678fe333abc3a6e5c05bff8b29b7c81c3f92a26cfe467e02670e3.npz,3f3ff89abf5b06d21a69565d0c98b8457fc991006512d8e4d0fc096212487cb5
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,checksum-only://simulation_traces/ahmedabad_ssp245_mid_2050s_typical_2058_diagnostic_reference.csv,70023433,1781602842489967832,14764b81667bcb7b4cfa1d3386da1ab8feb0fde78546892e0da8f8bcc130f59c,16704,False,checksum-only://corrected_zone_npz/14764b81667bcb7b4cfa1d3386da1ab8feb0fde78546892e0da8f8bcc130f59c.npz,79e62b65e423dc77e36104158e7c9f5f6d233f2328fd2bdf490078c2a25b0465
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,checksum-only://simulation_traces/ahmedabad_ssp245_near_2030s_heatwave_extreme_2034_diagnostic_reference.csv,70362267,1781602901478794883,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,16704,False,checksum-only://corrected_zone_npz/6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d.npz,8a8bbeef96011cb990f79cf09d3fd662a1e32f524f3e6839c898aaa000a309d2
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,checksum-only://simulation_traces/ahmedabad_ssp245_near_2030s_hot_2034_diagnostic_reference.csv,69906747,1781602959676446380,6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d,16704,True,checksum-only://corrected_zone_npz/6efe6eca3f3ac504d6d33de946f3048d2957eede94e1946fd3c3e7be4c65a86d.npz,8a8bbeef96011cb990f79cf09d3fd662a1e32f524f3e6839c898aaa000a309d2
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,checksum-only://simulation_traces/ahmedabad_ssp245_near_2030s_typical_2032_diagnostic_reference.csv,70072912,1781603018544392093,cfb16e95b84f46ca8126be0b92e7563c97a93a373a228d3388dc116b98f75b9f,16704,False,checksum-only://corrected_zone_npz/cfb16e95b84f46ca8126be0b92e7563c97a93a373a228d3388dc116b98f75b9f.npz,d21a9fd139556724a3b7a73cfa0ce5ad21db0a08a1814ed66066cc0bded29cfb
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,checksum-only://simulation_traces/ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027_diagnostic_reference.csv,70403914,1781603076265194022,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,16704,False,checksum-only://corrected_zone_npz/83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573.npz,b4a7a6a35fed7032804c689dbfe14da00e3bf1923c39d759204a0a1f458bd4b1
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,checksum-only://simulation_traces/ahmedabad_ssp585_baseline_2020s_hot_2027_diagnostic_reference.csv,69948394,1781603134065980309,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,16704,True,checksum-only://corrected_zone_npz/83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573.npz,b4a7a6a35fed7032804c689dbfe14da00e3bf1923c39d759204a0a1f458bd4b1
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,checksum-only://simulation_traces/ahmedabad_ssp585_baseline_2020s_typical_2025_diagnostic_reference.csv,70220033,1781603192236735674,f513690e57359d0b270e71b27386db42c7255f624bce2eeea381419bfe19e4db,16704,False,checksum-only://corrected_zone_npz/f513690e57359d0b270e71b27386db42c7255f624bce2eeea381419bfe19e4db.npz,0299733b709e52a53b485326bafdade2fccbd5883dd3bfa3879c97e10158542e
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,checksum-only://simulation_traces/ahmedabad_ssp585_late_2080s_heatwave_extreme_2088_diagnostic_reference.csv,70263944,1781603250190085870,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,16704,False,checksum-only://corrected_zone_npz/3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26.npz,74aacc336381e94740dc20088edecce5ec6c5bb57287ae51def3f543082fe95f
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,checksum-only://simulation_traces/ahmedabad_ssp585_late_2080s_hot_2088_diagnostic_reference.csv,69808424,1781603308149753203,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,16704,True,checksum-only://corrected_zone_npz/3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26.npz,74aacc336381e94740dc20088edecce5ec6c5bb57287ae51def3f543082fe95f
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,checksum-only://simulation_traces/ahmedabad_ssp585_late_2080s_typical_2087_diagnostic_reference.csv,70022738,1781603366283908365,f0343596362a2e7923658e0e721f851162aae15f56f059752eb96bf73f6ffa54,16704,False,checksum-only://corrected_zone_npz/f0343596362a2e7923658e0e721f851162aae15f56f059752eb96bf73f6ffa54.npz,c12a20df38b7aaff055dac119e48a0c01a9e90421fb55da60e7af87c84a9ae8d
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,checksum-only://simulation_traces/ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051_diagnostic_reference.csv,70273334,1781603424140768396,dbbe5f0ba62c446cf425567226cf5cd7ee19febc10f2152e48063a50b82495a7,16704,False,checksum-only://corrected_zone_npz/dbbe5f0ba62c446cf425567226cf5cd7ee19febc10f2152e48063a50b82495a7.npz,3fcc61d804f9708a94d4bf07987cfc755016696a6f27c92b425c5c43a1a6e6e3
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,checksum-only://simulation_traces/ahmedabad_ssp585_mid_2050s_hot_2050_diagnostic_reference.csv,69831405,1781603482764739728,4dce1d20cdd882a0cd2cdf2b025f9695dabcf61cb26e754bf6fa79422ecef01d,16704,False,checksum-only://corrected_zone_npz/4dce1d20cdd882a0cd2cdf2b025f9695dabcf61cb26e754bf6fa79422ecef01d.npz,40631ca057ba7f1c21461c2f4c848a619e3729bea16e064bc90a09e24f337356
