predictor,metric,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
Primary TSV model,observed_tail_prevalence,0.06074787382441615,0.043179214446306374,0.07706083355876922,0.06020788912087917,0.00871401705476974,5000,contributor,63
Primary TSV model,mean_predicted_p_tail,0.06126925932004781,0.04880562087534683,0.07334381052681524,0.06102887489223151,0.006261610156176146,5000,contributor,63
Primary TSV model,calibration_gap_predicted_minus_observed,0.0005213854956316599,-0.006316987474529734,0.008781206992482003,0.0008209857713523437,0.0038181153786819625,5000,contributor,63
Primary TSV model,tail_brier,0.046530712907591164,0.03447812807531137,0.05720227578071602,0.046096822519503436,0.0058663998584068825,5000,contributor,63
Primary TSV model,tail_ece_fixed_bins,0.0034967869388901575,0.0024488358670563203,0.01054446650677272,0.005527368805047149,0.0020899684758109065,5000,contributor,63
Primary TSV model,tail_auroc,0.8188057760246714,0.7728347589623371,0.8583265003436952,0.8168873946241896,0.02218557053004721,5000,contributor,63
Primary TSV model,tail_average_precision,0.36996382129729904,0.24971085158672762,0.4808429529921769,0.36341333243072094,0.06058615281652086,5000,contributor,63
No-PMV TSV model,observed_tail_prevalence,0.06074787382441615,0.043179214446306374,0.07706083355876922,0.06020788912087917,0.00871401705476974,5000,contributor,63
No-PMV TSV model,mean_predicted_p_tail,0.0613599040042868,0.048751389137020075,0.0735387293872375,0.06110516103226341,0.006348758275427717,5000,contributor,63
No-PMV TSV model,calibration_gap_predicted_minus_observed,0.0006120301798706526,-0.006136136971727262,0.008583986426158919,0.0008972719113842459,0.0037151247845046784,5000,contributor,63
No-PMV TSV model,tail_brier,0.04652554763293542,0.03455334341965012,0.05721343012707813,0.04607702487053187,0.005877787609056006,5000,contributor,63
No-PMV TSV model,tail_ece_fixed_bins,0.003516307430091658,0.002440704929425154,0.009963520150345132,0.005513937245019206,0.0019359043941119078,5000,contributor,63
No-PMV TSV model,tail_auroc,0.8218291217965438,0.7749844314071966,0.8624220095713959,0.8199427852345805,0.022572063171213512,5000,contributor,63
No-PMV TSV model,tail_average_precision,0.36943033682268345,0.24699684667562344,0.4852409709486717,0.36290724572555616,0.0624880351450158,5000,contributor,63
PMV-only calibrated tail baseline,observed_tail_prevalence,0.06074787382441615,0.043179214446306374,0.07706083355876922,0.06020788912087917,0.00871401705476974,5000,contributor,63
PMV-only calibrated tail baseline,mean_predicted_p_tail,0.06104073150249695,0.055427501066912375,0.06740303572443127,0.061151647043354594,0.003053483549724812,5000,contributor,63
PMV-only calibrated tail baseline,calibration_gap_predicted_minus_observed,0.0002928576780808004,-0.01718013874823234,0.01948118903657813,0.0009437579224754362,0.009414015080336024,5000,contributor,63
PMV-only calibrated tail baseline,tail_brier,0.05587582529806928,0.04082791936631556,0.0694651261066628,0.055389252948041715,0.007277187055262859,5000,contributor,63
PMV-only calibrated tail baseline,tail_ece_fixed_bins,0.0027323152464719448,0.003014966702969778,0.021138437298832125,0.010032579923367865,0.004831076494052081,5000,contributor,63
PMV-only calibrated tail baseline,tail_auroc,0.6378323760448994,0.5708986325756933,0.712608638643579,0.6404386742423824,0.03696381485871618,5000,contributor,63
PMV-only calibrated tail baseline,tail_average_precision,0.10977789087333208,0.06750885160815188,0.17179349727915572,0.11161138348298805,0.026886455533176735,5000,contributor,63
