predictor,metric,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
Primary TSV model,observed_tail_prevalence,0.20564280250191244,0.16937000757067291,0.23790889324744985,0.20437066664934556,0.0176569746882728,5000,contributor,63
Primary TSV model,mean_predicted_p_tail,0.20738152582642044,0.1828409225301675,0.22890989743942164,0.2067596307074783,0.011645886006926957,5000,contributor,63
Primary TSV model,calibration_gap_predicted_minus_observed,0.0017387233245080014,-0.012777312836585545,0.018724977191989085,0.002388964058132746,0.008022148708726263,5000,contributor,63
Primary TSV model,tail_brier,0.13735693564675405,0.1165932034113493,0.1562993826379089,0.13662613898362438,0.01018360344947837,5000,contributor,63
Primary TSV model,tail_ece_fixed_bins,0.010640069427200572,0.007554275916029655,0.020646098453074805,0.012841803472880668,0.0033342832992308297,5000,contributor,63
Primary TSV model,tail_auroc,0.747432209128543,0.7129324802160686,0.7782282930399333,0.7460258026111205,0.01650538982857588,5000,contributor,63
Primary TSV model,tail_average_precision,0.4870558039038029,0.4204252844510032,0.5471424496487725,0.4842143324370796,0.0324003505836356,5000,contributor,63
No-PMV TSV model,observed_tail_prevalence,0.20564280250191244,0.16937000757067291,0.23790889324744985,0.20437066664934556,0.0176569746882728,5000,contributor,63
No-PMV TSV model,mean_predicted_p_tail,0.20702875319084563,0.18243795715452232,0.22885477712504454,0.20641008269230487,0.011744925522769952,5000,contributor,63
No-PMV TSV model,calibration_gap_predicted_minus_observed,0.0013859506889331852,-0.013236687060867365,0.01821147665867534,0.002039416042959348,0.008017697222858194,5000,contributor,63
No-PMV TSV model,tail_brier,0.1376973799887932,0.11697673208323936,0.15641274410602254,0.13698065241705823,0.010102041856527218,5000,contributor,63
No-PMV TSV model,tail_ece_fixed_bins,0.006499845168288776,0.005991766201964296,0.019835349875589357,0.011312502572296847,0.0035618237634822475,5000,contributor,63
No-PMV TSV model,tail_auroc,0.7466148413476872,0.712280313016144,0.7777790482556217,0.745241592264071,0.01650308455718369,5000,contributor,63
No-PMV TSV model,tail_average_precision,0.4826375541985294,0.41667469509448923,0.5410109392141323,0.47972275406262416,0.03159207995053962,5000,contributor,63
PMV-only calibrated tail baseline,observed_tail_prevalence,0.20564280250191244,0.16937000757067291,0.23790889324744985,0.20437066664934556,0.0176569746882728,5000,contributor,63
PMV-only calibrated tail baseline,mean_predicted_p_tail,0.2061013090689473,0.198331227022794,0.21484804318584194,0.20626595845314705,0.004211881859248283,5000,contributor,63
PMV-only calibrated tail baseline,calibration_gap_predicted_minus_observed,0.0004585065670348609,-0.03580802122239964,0.04104017217940014,0.0018952918038014552,0.019746363209682694,5000,contributor,63
PMV-only calibrated tail baseline,tail_brier,0.16085568132567135,0.13954488024451847,0.17999792942814793,0.16003902635775993,0.010476320673580772,5000,contributor,63
PMV-only calibrated tail baseline,tail_ece_fixed_bins,0.003221023106222836,0.004164304640693393,0.043887086453022306,0.019383828557532963,0.0107593788272949,5000,contributor,63
PMV-only calibrated tail baseline,tail_auroc,0.5706889723494039,0.535240673101651,0.6232204902503368,0.5743607085583855,0.02282517025983762,5000,contributor,63
PMV-only calibrated tail baseline,tail_average_precision,0.25996345411018135,0.21202543712961583,0.3174579015945137,0.26180266476315683,0.02679026151041603,5000,contributor,63
