left,right,spearman_rho,n_unique_weather_states
delta_annual_mean_temp_c,delta_annual_ghi_kwh_m2,0.4102498068503734,36
delta_annual_mean_temp_c,delta_annual_mean_rh_pct,-0.05588462528972444,36
delta_annual_mean_temp_c,delta_mean_zone_operative_temp_c_occ,0.8678856554210661,36
delta_annual_mean_temp_c,delta_mean_zone_rh_pct_occ,0.9469482359000772,36
delta_annual_mean_temp_c,delta_mean_zone_cooling_rate_w_occ,0.8001545197012618,36
delta_annual_mean_temp_c,delta_mean_p_tail_occ,0.6999742467164562,36
delta_annual_mean_temp_c,delta_high_tail_pct_occ,0.6906187639066098,36
delta_annual_ghi_kwh_m2,delta_annual_mean_rh_pct,-0.10327066701004377,36
delta_annual_ghi_kwh_m2,delta_mean_zone_operative_temp_c_occ,0.6703579706412567,36
delta_annual_ghi_kwh_m2,delta_mean_zone_rh_pct_occ,0.2544424414112799,36
delta_annual_ghi_kwh_m2,delta_mean_zone_cooling_rate_w_occ,0.7254699974246716,36
delta_annual_ghi_kwh_m2,delta_mean_p_tail_occ,0.4836466649497811,36
delta_annual_ghi_kwh_m2,delta_high_tail_pct_occ,0.508917649628738,36
delta_annual_mean_rh_pct,delta_mean_zone_operative_temp_c_occ,-0.10558846252897243,36
delta_annual_mean_rh_pct,delta_mean_zone_rh_pct_occ,-0.02678341488539789,36
delta_annual_mean_rh_pct,delta_mean_zone_cooling_rate_w_occ,-0.10069533865567859,36
delta_annual_mean_rh_pct,delta_mean_p_tail_occ,0.11743497295905227,36
delta_annual_mean_rh_pct,delta_high_tail_pct_occ,0.14165217980556977,36
delta_mean_zone_operative_temp_c_occ,delta_mean_zone_rh_pct_occ,0.758949266031419,36
delta_mean_zone_operative_temp_c_occ,delta_mean_zone_cooling_rate_w_occ,0.7937161988153488,36
delta_mean_zone_operative_temp_c_occ,delta_mean_p_tail_occ,0.8547514808138037,36
delta_mean_zone_operative_temp_c_occ,delta_high_tail_pct_occ,0.8759255700340778,36
delta_mean_zone_rh_pct_occ,delta_mean_zone_cooling_rate_w_occ,0.7216070048931238,36
delta_mean_zone_rh_pct_occ,delta_mean_p_tail_occ,0.6649497810970898,36
delta_mean_zone_rh_pct_occ,delta_high_tail_pct_occ,0.6334427931487253,36
delta_mean_zone_cooling_rate_w_occ,delta_mean_p_tail_occ,0.5222765902652589,36
delta_mean_zone_cooling_rate_w_occ,delta_high_tail_pct_occ,0.5366042120452812,36
delta_mean_p_tail_occ,delta_high_tail_pct_occ,0.9816496060525985,36
