case_id,city,scenario,time_slice,severity,weather_year,outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,<20,1398,16.252065450643777,24.794100283470545,39.16839450887024,79845.2461212033,0.07823656789133966,0.0
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,20--25,1946,22.870547276464542,25.263965313306816,44.084851454124696,98793.56723638652,0.0897084789674151,0.20554984583761562
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,25--30,4519,27.772777716308916,25.998176766622088,50.808761433239404,110292.85515021694,0.1213054043582234,12.126576676255809
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,30--35,5604,32.47455835117773,26.489004717875268,53.050394219064195,113137.49691429277,0.14851659107081927,23.536759457530334
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,>=35,3237,37.42249768303985,26.83425160691749,53.39417097380481,116141.09432972956,0.1750185000741406,36.17547111523015
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,<20,1398,16.252065450643777,24.794100283470545,39.16839450887024,79845.2461212033,0.07823656789133966,0.0
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,20--25,1946,22.870547276464542,25.263965313306816,44.084851454124696,98793.56723638652,0.0897084789674151,0.20554984583761562
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,25--30,4519,27.772777716308916,25.998176766622088,50.808761433239404,110292.85515021694,0.1213054043582234,12.126576676255809
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,30--35,5604,32.47455835117773,26.489004717875268,53.050394219064195,113137.49691429277,0.14851659107081927,23.536759457530334
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,>=35,3237,37.42249768303985,26.83425160691749,53.39417097380481,116141.09432972956,0.1750185000741406,36.17547111523015
