left,right,spearman_rho,n_unique_weather_states
annual_mean_temp_c,annual_max_temp_c,0.6987765188648843,119
annual_mean_temp_c,annual_cdh18_c_hour,0.9888833499501496,119
annual_mean_temp_c,annual_hours_temp_ge_35,0.7312610954893672,119
annual_mean_temp_c,annual_mean_rh_pct,0.07009503871024816,119
annual_mean_temp_c,annual_ghi_kwh_m2,0.527047429141148,119
annual_mean_temp_c,mean_zone_operative_temp_c_occ,0.911615154536391,119
annual_mean_temp_c,p95_zone_operative_temp_c_occ,0.5313986611593792,119
annual_mean_temp_c,mean_zone_rh_pct_occ,0.506744053553625,119
annual_mean_temp_c,mean_zone_cooling_rate_w_occ,0.9367540236433558,119
annual_mean_temp_c,mean_p_tail_occ,0.8098276598775104,119
annual_mean_temp_c,high_tail_pct_occ,0.6942150231726985,119
annual_max_temp_c,annual_cdh18_c_hour,0.7487305849113444,119
annual_max_temp_c,annual_hours_temp_ge_35,0.9604374652532002,119
annual_max_temp_c,annual_mean_rh_pct,-0.3388728452880326,119
annual_max_temp_c,annual_ghi_kwh_m2,0.7581345829460369,119
annual_max_temp_c,mean_zone_operative_temp_c_occ,0.543971969619047,119
annual_max_temp_c,p95_zone_operative_temp_c_occ,0.4325839095958548,119
annual_max_temp_c,mean_zone_rh_pct_occ,-0.014139824383098788,119
annual_max_temp_c,mean_zone_cooling_rate_w_occ,0.7808238201581007,119
annual_max_temp_c,mean_p_tail_occ,0.7721106118313712,119
annual_max_temp_c,high_tail_pct_occ,0.5272622067997049,119
annual_cdh18_c_hour,annual_hours_temp_ge_35,0.790415750877511,119
annual_cdh18_c_hour,annual_mean_rh_pct,-0.017839783791635425,119
annual_cdh18_c_hour,annual_ghi_kwh_m2,0.6085457911978351,119
annual_cdh18_c_hour,mean_zone_operative_temp_c_occ,0.8897236860846034,119
annual_cdh18_c_hour,p95_zone_operative_temp_c_occ,0.5207520296254096,119
annual_cdh18_c_hour,mean_zone_rh_pct_occ,0.42416322461187866,119
annual_cdh18_c_hour,mean_zone_cooling_rate_w_occ,0.9581256231306083,119
annual_cdh18_c_hour,mean_p_tail_occ,0.8460333285856717,119
annual_cdh18_c_hour,high_tail_pct_occ,0.6969496812247218,119
annual_hours_temp_ge_35,annual_mean_rh_pct,-0.30946288634887237,119
annual_hours_temp_ge_35,annual_ghi_kwh_m2,0.8258180794077145,119
annual_hours_temp_ge_35,mean_zone_operative_temp_c_occ,0.6084534807962139,119
annual_hours_temp_ge_35,p95_zone_operative_temp_c_occ,0.47121069130095633,119
annual_hours_temp_ge_35,mean_zone_rh_pct_occ,0.03845106024266362,119
annual_hours_temp_ge_35,mean_zone_cooling_rate_w_occ,0.8213268986957842,119
annual_hours_temp_ge_35,mean_p_tail_occ,0.8436510229641259,119
annual_hours_temp_ge_35,high_tail_pct_occ,0.6047718605650313,119
annual_mean_rh_pct,annual_ghi_kwh_m2,-0.3636502833773987,119
annual_mean_rh_pct,mean_zone_operative_temp_c_occ,0.28387333406246856,119
annual_mean_rh_pct,p95_zone_operative_temp_c_occ,0.28524781640649477,119
annual_mean_rh_pct,mean_zone_rh_pct_occ,0.8150431041619209,119
annual_mean_rh_pct,mean_zone_cooling_rate_w_occ,-0.15692600233480503,119
annual_mean_rh_pct,mean_p_tail_occ,-0.06809741022579557,119
annual_mean_rh_pct,high_tail_pct_occ,0.23373007047824534,119
annual_ghi_kwh_m2,mean_zone_operative_temp_c_occ,0.4404144708730951,119
annual_ghi_kwh_m2,p95_zone_operative_temp_c_occ,0.28441105255661586,119
annual_ghi_kwh_m2,mean_zone_rh_pct_occ,-0.11992593647628544,119
annual_ghi_kwh_m2,mean_zone_cooling_rate_w_occ,0.7245192992451219,119
annual_ghi_kwh_m2,mean_p_tail_occ,0.6757157100128188,119
annual_ghi_kwh_m2,high_tail_pct_occ,0.4454537200080412,119
mean_zone_operative_temp_c_occ,p95_zone_operative_temp_c_occ,0.7392821535393819,119
mean_zone_operative_temp_c_occ,mean_zone_rh_pct_occ,0.6934126192850022,119
mean_zone_operative_temp_c_occ,mean_zone_cooling_rate_w_occ,0.7886910696481984,119
mean_zone_operative_temp_c_occ,mean_p_tail_occ,0.853838484546361,119
mean_zone_operative_temp_c_occ,high_tail_pct_occ,0.8668866024914083,119
p95_zone_operative_temp_c_occ,mean_zone_rh_pct_occ,0.5564734368323602,119
p95_zone_operative_temp_c_occ,mean_zone_cooling_rate_w_occ,0.3750605326876514,119
p95_zone_operative_temp_c_occ,mean_p_tail_occ,0.7906922090870248,119
p95_zone_operative_temp_c_occ,high_tail_pct_occ,0.9354168484149002,119
mean_zone_rh_pct_occ,mean_zone_cooling_rate_w_occ,0.28537245406637235,119
mean_zone_rh_pct_occ,mean_p_tail_occ,0.3503845606039026,119
mean_zone_rh_pct_occ,high_tail_pct_occ,0.569221922130802,119
mean_zone_cooling_rate_w_occ,mean_p_tail_occ,0.7798817832217634,119
mean_zone_cooling_rate_w_occ,high_tail_pct_occ,0.5720634027629826,119
mean_p_tail_occ,high_tail_pct_occ,0.901468632440954,119
