condition,left,right,spearman_rho_mean,spearman_rho_median,spearman_rho_q25,spearman_rho_q75,n_units,negative_case_count
all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.6641813593799202,-0.8748632156883132,-0.9232235474687861,-0.28771588530777287,144,138
all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.7434934692486271,0.8550352034881166,0.7943008297964579,0.9173950393094141,144,10
all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.753099177916036,0.8927698511051521,0.7446008741921535,0.9413604395457025,144,9
all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.8026138194516922,0.8241839312842804,0.7534762654001519,0.8972496628411304,144,0
all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.46924601039236336,0.5742828793697614,0.41072393221506115,0.6293824373004923,144,11
may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.8992543579633939,-0.9580945971933792,-0.9790808258505836,-0.8754660070182753,144,144
may_through_september,mean_operative_temp_c,discomfort_probability,0.955357592129361,0.9855592238886666,0.9519968535756861,0.9912564468160547,144,0
may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9612763456626623,0.9911304856861503,0.9448996437422862,0.994288818116636,144,0
may_through_september,outdoor_temp_c,mean_operative_temp_c,0.5674520956301001,0.5785015215344105,0.4999970754319774,0.6610299874135257,144,2
may_through_september,zone_cooling_rate_w,discomfort_probability,0.2956969242546169,0.3174206386554794,0.19632585866924082,0.4055930983172592,144,8
outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.8185815229695027,-0.9143651991850267,-0.9379879198584574,-0.8050136738394313,144,144
outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9205698324220175,0.9441187969192604,0.8942832975940368,0.964787699562049,144,0
outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9234330577890706,0.9592927996630822,0.8959296444982805,0.9757241723933651,144,0
outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.6624932277916622,0.6853211255895398,0.6000272118696958,0.7446214356843107,144,0
outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.4614212861274765,0.49302119360800145,0.37521097501455214,0.5495861477883247,144,0
outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.8790991691463927,-0.9501687557175169,-0.9635111500293565,-0.896909069303328,144,144
outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9545704297949622,0.9670116148250893,0.9395894269727425,0.975901138058506,144,0
outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.960527576093003,0.9769106120664269,0.9558011504860993,0.9818516093941279,144,0
outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.5537804522492658,0.5763397381135327,0.4703391228888383,0.635513914420763,144,0
outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.33296048290106817,0.35991838187926595,0.24741299353914908,0.42421292925702037,144,2
