city,scenario,weather_year,case_id_canonical,source_csv,epw_path,source_rows,epw_rows,expected_transform_sha256,epw_transform_sha256,exact_transform_match
Ahmedabad,ssp245,2025,ahmedabad_ssp245_baseline_2020s_typical_2025,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_typical_2025.epw,8760,8760,ef1ae1b0beb2f12ff8fccd99cb5ebe5fae0dae5fcc851b9065273650f9c492d9,ef1ae1b0beb2f12ff8fccd99cb5ebe5fae0dae5fcc851b9065273650f9c492d9,True
Ahmedabad,ssp245,2029,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029.epw,8760,8760,86f043ecb2928d8b2191f4a7805e6850f16958a27c5dc88b2d4b255225eb1e1b,86f043ecb2928d8b2191f4a7805e6850f16958a27c5dc88b2d4b255225eb1e1b,True
Ahmedabad,ssp245,2032,ahmedabad_ssp245_near_2030s_typical_2032,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_typical_2032.epw,8784,8784,d24446921d40f4d66b972321d3fcad2e134f2a3ea54a57f1fe53b1b16f6e80c5,d24446921d40f4d66b972321d3fcad2e134f2a3ea54a57f1fe53b1b16f6e80c5,True
Ahmedabad,ssp245,2034,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_heatwave_extreme_2034.epw,8760,8760,377d73f33651f2d794560d396c1b7364680b0456055a3f8ffb3a1c8cd2c6c3f6,377d73f33651f2d794560d396c1b7364680b0456055a3f8ffb3a1c8cd2c6c3f6,True
Ahmedabad,ssp245,2058,ahmedabad_ssp245_mid_2050s_typical_2058,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_typical_2058.epw,8760,8760,ad374a487db82dc405fa667eb2c91b4cbe0ec056be6180def6293c6e6dce35c4,ad374a487db82dc405fa667eb2c91b4cbe0ec056be6180def6293c6e6dce35c4,True
Ahmedabad,ssp245,2059,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059.epw,8760,8760,1c1039c64de021ce0fc263ee49b9d6f08d3b8b2d260be37f2971b104996b6759,1c1039c64de021ce0fc263ee49b9d6f08d3b8b2d260be37f2971b104996b6759,True
Ahmedabad,ssp245,2081,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081.epw,8760,8760,fbbc79abf8821dc180ff096a7c58139323eae79e9a09cf9fb95c32b449410a70,fbbc79abf8821dc180ff096a7c58139323eae79e9a09cf9fb95c32b449410a70,True
Ahmedabad,ssp245,2086,ahmedabad_ssp245_late_2080s_typical_2086,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_typical_2086.epw,8760,8760,9cb83f9b278da0e2f35a0a882d7416b38248a56302ba569962720cb4d15fd680,9cb83f9b278da0e2f35a0a882d7416b38248a56302ba569962720cb4d15fd680,True
Beijing,ssp245,2025,beijing_ssp245_baseline_2020s_heatwave_extreme_2025,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_baseline_2020s_heatwave_extreme_2025.epw,8760,8760,260608e4f01f068cb28355ac5dac0bb92ddc46eef3daf8bf15bcde4a8762cd15,260608e4f01f068cb28355ac5dac0bb92ddc46eef3daf8bf15bcde4a8762cd15,True
Beijing,ssp245,2026,beijing_ssp245_baseline_2020s_typical_2026,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_baseline_2020s_typical_2026.epw,8760,8760,20d59774c04965fc3670736a2872669d37344cf4bf8e2771e8624582da15ffaf,20d59774c04965fc3670736a2872669d37344cf4bf8e2771e8624582da15ffaf,True
Beijing,ssp245,2034,beijing_ssp245_near_2030s_hot_2034,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_hot_2034.epw,8760,8760,5a0ede4791cfe0fe73cebbf8c2b6df4f44f63bff6c1a32e43c6df05fed1e3f19,5a0ede4791cfe0fe73cebbf8c2b6df4f44f63bff6c1a32e43c6df05fed1e3f19,True
Beijing,ssp245,2035,beijing_ssp245_near_2030s_typical_2035,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_typical_2035.epw,8760,8760,e4564de457bcaf8673d4b24d9a5e3ad81ee3fd220e7ea49babd258d7f59c447b,e4564de457bcaf8673d4b24d9a5e3ad81ee3fd220e7ea49babd258d7f59c447b,True
Beijing,ssp245,2039,beijing_ssp245_near_2030s_heatwave_extreme_2039,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_near_2030s_heatwave_extreme_2039.epw,8760,8760,013c3d5904a475e1b034d42c7975a6390b47cae288e168e4aed77dd43683b02c,013c3d5904a475e1b034d42c7975a6390b47cae288e168e4aed77dd43683b02c,True
Beijing,ssp245,2050,beijing_ssp245_mid_2050s_heatwave_extreme_2050,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_heatwave_extreme_2050.epw,8760,8760,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,4b8ad6535675a00072ba22b3cf172599ee767b94800d3be709e35477a6883ae5,True
Beijing,ssp245,2056,beijing_ssp245_mid_2050s_typical_2056,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Beijing/beijing_ssp245_mid_2050s_typical_2056.epw,8784,8784,7cb0e3446b9a7fb4f09f5af64a9c37327673c3156a6833cfb28178b609110931,7cb0e3446b9a7fb4f09f5af64a9c37327673c3156a6833cfb28178b609110931,True
