case_id,city,scenario,time_slice,severity,weather_year,manifest_mean_temp_c,manifest_cdh18_c_hour,manifest_max_temp_c,manifest_hours_temp_ge_35,manifest_mean_rh_pct,epw_path,data_rows,calendar_years,invalid_field_width_rows,body_sha256,transform_sha256,mean_temp_c,min_temp_c,max_temp_c,cdh18_c_hour,hours_temp_ge_35,mean_rh_pct,min_rh_pct,max_rh_pct,dewpoint_above_drybulb_rows,min_pressure_pa,max_pressure_pa,annual_ghi_kwh_m2,max_ghi_w_m2,max_dni_w_m2,max_dhi_w_m2,max_wind_m_s,broad_range_violation_rows,mean_temp_difference_c,max_temp_difference_c,cdh18_difference_c_hour,hours_ge_35_difference,mean_rh_difference_pct_point
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,28.350228,92624.224841,43.199049,1176,56.359483,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029.epw,8760,2029,0,682e11cf9df4cf073992dc57a1b21d72191ee1e5197222a97008512b8adf842c,86f043ecb2928d8b2191f4a7805e6850f16958a27c5dc88b2d4b255225eb1e1b,28.350182648401823,11.17,43.2,92623.94,1177,56.36050228310502,19.0,89.0,0,99263.0,102309.0,1996.929,911.0,799.0,464.0,7.45,0,-4.535159817820045e-05,0.0009510000000005903,-0.284841000000597,1,0.0010192831050233053
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,28.350228,92624.224841,43.199049,1176,56.359483,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_hot_2029.epw,8760,2029,0,682e11cf9df4cf073992dc57a1b21d72191ee1e5197222a97008512b8adf842c,86f043ecb2928d8b2191f4a7805e6850f16958a27c5dc88b2d4b255225eb1e1b,28.350182648401823,11.17,43.2,92623.94,1177,56.36050228310502,19.0,89.0,0,99263.0,102309.0,1996.929,911.0,799.0,464.0,7.45,0,-4.535159817820045e-05,0.0009510000000005903,-0.284841000000597,1,0.0010192831050233053
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,27.84526,87476.146149,43.866432,840,56.373538,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_typical_2025.epw,8760,2025,0,dd901e9649c2674cdced993e8f00ed69849eead51f08823f55f32ca2edf649af,ef1ae1b0beb2f12ff8fccd99cb5ebe5fae0dae5fcc851b9065273650f9c492d9,27.845284246575346,8.41,43.87,87476.30000000002,840,56.37625570776256,19.0,89.0,0,99288.0,102152.0,1977.121,949.0,799.0,458.0,6.54,0,2.4246575346609234e-05,0.0035679999999942424,0.15385100002458785,0,0.0027177077625566426
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,29.058799,98097.758616,46.090774,1344,56.386751,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081.epw,8760,2081,0,0878c640c77cf59b3c456c404a8bc3ccf079e3779cfa8fa778f64b3cd89657be,fbbc79abf8821dc180ff096a7c58139323eae79e9a09cf9fb95c32b449410a70,29.058849315068493,8.4,46.09,98098.08,1345,56.39075342465753,19.0,89.0,0,99646.0,102052.0,2000.318,950.0,799.0,457.0,6.24,0,5.031506849206835e-05,-0.0007739999999998304,0.3213839999953052,1,0.0040024246575356415
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,29.058799,98097.758616,46.090774,1344,56.386751,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_hot_2081.epw,8760,2081,0,0878c640c77cf59b3c456c404a8bc3ccf079e3779cfa8fa778f64b3cd89657be,fbbc79abf8821dc180ff096a7c58139323eae79e9a09cf9fb95c32b449410a70,29.058849315068493,8.4,46.09,98098.08,1345,56.39075342465753,19.0,89.0,0,99646.0,102052.0,2000.318,950.0,799.0,457.0,6.24,0,5.031506849206835e-05,-0.0007739999999998304,0.3213839999953052,1,0.0040024246575356415
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,28.022822,88976.69973,48.704821,1176,56.386855,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_typical_2086.epw,8760,2086,0,19bc7379cfd8c4f9f740cb0ce983cc14ba802e88a77ce40527a6df05aaf4e6c9,9cb83f9b278da0e2f35a0a882d7416b38248a56302ba569962720cb4d15fd680,28.022840182648405,9.05,48.7,88976.77,1177,56.3912100456621,19.0,89.0,0,99219.0,102110.0,1958.055,956.0,799.0,469.0,6.34,0,1.8182648403808344e-05,-0.004820999999999742,0.07027000001107808,1,0.004355045662101986
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,28.452703,93447.449756,48.491247,1233,56.401231,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059.epw,8760,2059,0,26e51acfc31cccfde342a9eb6133b0d7aaccbaf7f4ebaa6aefc5ac62635d0b13,1c1039c64de021ce0fc263ee49b9d6f08d3b8b2d260be37f2971b104996b6759,28.452689497716896,7.83,48.49,93447.31000000001,1235,56.40890410958904,19.0,89.0,0,99602.0,102125.0,2006.488,937.0,799.0,631.0,7.15,0,-1.3502283103150603e-05,-0.001246999999999332,-0.13975599998957478,2,0.007673109589035221
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,28.452703,93447.449756,48.491247,1233,56.401231,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_hot_2059.epw,8760,2059,0,26e51acfc31cccfde342a9eb6133b0d7aaccbaf7f4ebaa6aefc5ac62635d0b13,1c1039c64de021ce0fc263ee49b9d6f08d3b8b2d260be37f2971b104996b6759,28.452689497716896,7.83,48.49,93447.31000000001,1235,56.40890410958904,19.0,89.0,0,99602.0,102125.0,2006.488,937.0,799.0,631.0,7.15,0,-1.3502283103150603e-05,-0.001246999999999332,-0.13975599998957478,2,0.007673109589035221
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,27.502697,85434.257832,43.714808,972,56.373664,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_typical_2058.epw,8760,2058,0,a5f0200b5cb5eaf100921659b7130db899c76b2af3807acb615acf4152b4a430,ad374a487db82dc405fa667eb2c91b4cbe0ec056be6180def6293c6e6dce35c4,27.502721461187214,9.02,43.71,85434.54000000001,972,56.382990867579906,19.0,89.0,0,99566.0,102529.0,1965.949,942.0,799.0,469.0,5.83,0,2.4461187212665436e-05,-0.004807999999997037,0.2821680000051856,0,0.009326867579908082
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,28.257058,90991.054602,46.222167,1110,56.403206,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_heatwave_extreme_2034.epw,8760,2034,0,b7e2469848177c26fcdbfe570f458e795ba758d5fbaffca9c5dfed3aec7df2ca,377d73f33651f2d794560d396c1b7364680b0456055a3f8ffb3a1c8cd2c6c3f6,28.257058219178084,9.52,46.22,90990.99000000002,1111,56.40251141552511,19.0,89.0,0,99365.0,102277.0,1905.076,925.0,798.0,445.0,5.82,0,2.191780836824364e-07,-0.00216700000000003,-0.0646019999840064,1,-0.0006945844748855734
