case_id,country,city,climate_role,scenario,scenario_raw,time_slice,year_window,severity,weather_year,epw_path,stage_smoke,stage_typical,stage_full,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,source,notes
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,baseline_2020s,2025-2029,heatwave_extreme,2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029.epw,False,False,True,28.350228,92624.224841,43.199049,1176,56.359483,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_baseline_2020s_hot_2029,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,baseline_2020s,2025-2029,hot,2029,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_hot_2029.epw,False,False,True,28.350228,92624.224841,43.199049,1176,56.359483,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_baseline_2020s_typical_2025,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,baseline_2020s,2025-2029,typical,2025,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_typical_2025.epw,False,True,True,27.84526,87476.146149,43.866432,840,56.373538,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,late_2080s,2080-2089,heatwave_extreme,2081,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081.epw,False,False,True,29.058799,98097.758616,46.090774,1344,56.386751,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_late_2080s_hot_2081,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,late_2080s,2080-2089,hot,2081,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_hot_2081.epw,False,False,True,29.058799,98097.758616,46.090774,1344,56.386751,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_late_2080s_typical_2086,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,late_2080s,2080-2089,typical,2086,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_typical_2086.epw,False,True,True,28.022822,88976.69973,48.704821,1176,56.386855,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,mid_2050s,2050-2059,heatwave_extreme,2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059.epw,False,False,True,28.452703,93447.449756,48.491247,1233,56.401231,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_mid_2050s_hot_2059,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,mid_2050s,2050-2059,hot,2059,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_hot_2059.epw,False,False,True,28.452703,93447.449756,48.491247,1233,56.401231,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_mid_2050s_typical_2058,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,mid_2050s,2050-2059,typical,2058,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_mid_2050s_typical_2058.epw,False,True,True,27.502697,85434.257832,43.714808,972,56.373664,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,near_2030s,2030-2039,heatwave_extreme,2034,/Users/guo/Library/CloudStorage/OneDrive-TheUniversityOfHongKong/Drafts/HPH_Carbon_Entitlement/weather/cmip_selected_years/ssp245/Ahmedabad/ahmedabad_ssp245_near_2030s_heatwave_extreme_2034.epw,False,False,True,28.257058,90991.054602,46.222167,1110,56.403206,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
