case_id,country,city,climate_role,scenario,scenario_raw,time_slice,year_window,severity,weather_year,epw_path,stage_smoke,stage_typical,stage_full,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,humidity_metric,selector,source,notes
ahmedabad_ssp245_baseline_2020s_typical_2025,India,Ahmedabad,hot-dry/composite,SSP2-4.5,ssp245,baseline_2020s,2025-2029,typical,2025,checksum-only://selected_weather/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_typical_2025.epw,False,True,True,27.84526,87476.146149,43.866432,840,56.373538,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,India,Ahmedabad,hot-dry/composite,SSP5-8.5,ssp585,near_2030s,2030-2039,heatwave_extreme,2037,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_heatwave_extreme_2037.epw,False,False,True,27.961734,89638.885702,46.88205,1155,56.40666,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp585_near_2030s_hot_2037,India,Ahmedabad,hot-dry/composite,SSP5-8.5,ssp585,near_2030s,2030-2039,hot,2037,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_hot_2037.epw,False,False,True,27.961734,89638.885702,46.88205,1155,56.40666,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
ahmedabad_ssp585_near_2030s_typical_2031,India,Ahmedabad,hot-dry/composite,SSP5-8.5,ssp585,near_2030s,2030-2039,typical,2031,checksum-only://selected_weather/ssp585/Ahmedabad/ahmedabad_ssp585_near_2030s_typical_2031.epw,False,True,True,26.911824,81512.894083,44.890228,849,56.382097,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
beijing_ssp585_late_2080s_typical_2084,China,Beijing,continental_hot_summer,SSP5-8.5,ssp585,late_2080s,2080-2089,typical,2084,checksum-only://selected_weather/ssp585/Beijing/beijing_ssp585_late_2080s_typical_2084.epw,False,True,True,16.689317,37071.552971,42.710354,315,56.198282,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
guangzhou_ssp245_late_2080s_heatwave_extreme_2088,China,Guangzhou,hot-humid/subtropical,SSP2-4.5,ssp245,late_2080s,2080-2089,heatwave_extreme,2088,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_late_2080s_heatwave_extreme_2088.epw,False,False,True,24.890647,68825.740854,36.487835,137,72.040647,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,China,Guangzhou,hot-humid/subtropical,SSP2-4.5,ssp245,mid_2050s,2050-2059,heatwave_extreme,2055,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_heatwave_extreme_2055.epw,False,False,True,24.496591,61767.010427,35.612035,36,72.058375,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
guangzhou_ssp245_mid_2050s_hot_2051,China,Guangzhou,hot-humid/subtropical,SSP2-4.5,ssp245,mid_2050s,2050-2059,hot,2051,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_hot_2051.epw,False,False,True,24.481152,64638.588891,36.067307,13,72.03898,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
guangzhou_ssp245_mid_2050s_typical_2054,China,Guangzhou,hot-humid/subtropical,SSP2-4.5,ssp245,mid_2050s,2050-2059,typical,2054,checksum-only://selected_weather/ssp245/Guangzhou/guangzhou_ssp245_mid_2050s_typical_2054.epw,False,True,True,24.059037,62982.149604,36.018144,16,72.05442,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,China,Guangzhou,hot-humid/subtropical,SSP5-8.5,ssp585,mid_2050s,2050-2059,heatwave_extreme,2059,checksum-only://selected_weather/ssp585/Guangzhou/guangzhou_ssp585_mid_2050s_heatwave_extreme_2059.epw,False,False,True,24.858082,66711.613399,36.188511,72,72.031042,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
houston_ssp245_mid_2050s_hot_2056,United States,Houston,hot-humid,SSP2-4.5,ssp245,mid_2050s,2050-2059,hot,2056,checksum-only://selected_weather/ssp245/Houston/houston_ssp245_mid_2050s_hot_2056.epw,False,False,True,23.846014,57130.049119,36.080721,60,74.033774,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
houston_ssp585_late_2080s_heatwave_extreme_2086,United States,Houston,hot-humid,SSP5-8.5,ssp585,late_2080s,2080-2089,heatwave_extreme,2086,checksum-only://selected_weather/ssp585/Houston/houston_ssp585_late_2080s_heatwave_extreme_2086.epw,False,False,True,23.906846,63687.861784,38.656594,725,74.031674,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
kolkata_ssp245_late_2080s_heatwave_extreme_2086,India,Kolkata,hot-humid/deltaic,SSP2-4.5,ssp245,late_2080s,2080-2089,heatwave_extreme,2086,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_late_2080s_heatwave_extreme_2086.epw,False,False,True,27.606172,85415.250552,41.591316,776,75.43428,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
kolkata_ssp245_mid_2050s_heatwave_extreme_2053,India,Kolkata,hot-humid/deltaic,SSP2-4.5,ssp245,mid_2050s,2050-2059,heatwave_extreme,2053,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_heatwave_extreme_2053.epw,False,False,True,26.946932,80269.526266,39.804015,568,75.449434,maximum_hours_temp_ge_35_then_max_temp,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
kolkata_ssp245_mid_2050s_hot_2053,India,Kolkata,hot-humid/deltaic,SSP2-4.5,ssp245,mid_2050s,2050-2059,hot,2053,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_hot_2053.epw,False,False,True,26.946932,80269.526266,39.804015,568,75.449434,maximum_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
kolkata_ssp585_baseline_2020s_typical_2029,India,Kolkata,hot-humid/deltaic,SSP5-8.5,ssp585,baseline_2020s,2025-2029,typical,2029,checksum-only://selected_weather/ssp585/Kolkata/kolkata_ssp585_baseline_2020s_typical_2029.epw,False,True,True,25.246182,67733.113473,38.356587,104,75.415999,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
phoenix_ssp585_mid_2050s_typical_2050,United States,Phoenix,hot-dry/desert,SSP5-8.5,ssp585,mid_2050s,2050-2059,typical,2050,checksum-only://selected_weather/ssp585/Phoenix/phoenix_ssp585_mid_2050s_typical_2050.epw,False,True,True,25.588838,76954.190981,46.5043,1889,33.594741,nearest_median_CDD18_within_time_slice,CMIP6_MPI_0515_forecast_csv,Representative annual slice selected from validated hourly CMIP forecast CSV.
