weather,city,scenario_raw,time_slice,severity,weather_year,month,day,current_time,outdoor_temp_c,mean_operative_temp_c,expected_tsv,p_tail,d_tail,warm_discomfort_probability,cold_discomfort_probability,pair_id,member,pair_tail_gap
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,18,15.0,40.2,31.46756633358195,1.3503683795135868,0.3397388954093276,0.33363003564532373,0.3366844655273256,0.0030544298820019,1,low_tail,0.17789945271786273
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,30,10.75,42.28000000000001,29.43273531808855,1.3637087529079903,0.5176383481271903,0.4966674216669267,0.5071528848970585,0.0104854632301318,1,high_tail,0.17789945271786273
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,7,26,14.0,39.68,32.00716804637238,1.497138169664043,0.3968302621327526,0.3922494297445518,0.3945398459386522,0.0022904161941004,2,low_tail,0.17345266581061886
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,17,16.25,48.5175,30.41520455248855,1.5099825889143268,0.5702829279433714,0.5603249326365282,0.5653039302899497,0.0049789976534216,2,high_tail,0.17345266581061886
kolkata_ssp585_mid_2050s_heatwave_extreme_2059,Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,5,14,15.5,39.265,30.914197619635097,1.263222091978263,0.3105928273275497,0.3029364417524921,0.3067646345400209,0.0038281927875288,3,low_tail,0.1727004049784014
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,19,19.25,47.927499999999995,29.10679358370316,1.2637658167412085,0.4832932323059511,0.4642235383966423,0.4737583853512967,0.0095348469546544,3,high_tail,0.1727004049784014
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,21,15.75,39.2725,31.127204418754864,1.270756453789573,0.31511311866392,0.3089847604646656,0.3120489395642928,0.0030641790996272,4,low_tail,0.17231863325437802
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,23,14.75,43.3625,29.16428542929949,1.277405764412331,0.487431751918298,0.4561763213517017,0.4718040366349998,0.0156277152832981,4,high_tail,0.17231863325437802
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,7,26,18.75,39.315,31.17162907355245,1.3268424962177543,0.3303032263957335,0.3236893571587399,0.3269962917772367,0.0033069346184968,5,low_tail,0.17217394405524467
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,20,14.75,47.442499999999995,29.608542098666664,1.3285860666891411,0.5024771704509782,0.4858840735970494,0.4941806220240137,0.0082965484269643,5,high_tail,0.17217394405524467
kolkata_ssp585_mid_2050s_heatwave_extreme_2059,Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,5,14,16.0,39.18,30.834114484086378,1.2341062758619497,0.3010585981350124,0.29340546229916337,0.2972320302170879,0.0038265679179245,6,low_tail,0.1707696568350361
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,31,10.5,40.97,29.12096778429983,1.245402899853102,0.4718282549700485,0.44683230823673986,0.4593302816033942,0.0124979733666543,6,high_tail,0.1707696568350361
kolkata_ssp245_late_2080s_typical_2084,Kolkata,ssp245,late_2080s,typical,2084,5,15,15.5,38.955,30.886723111720514,1.2900850278547835,0.3245691174299961,0.31691598159414697,0.3207425495120715,0.0038265679179245,7,low_tail,0.17054001620313897
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,31,11.5,43.97,29.36073148329323,1.3093557488302223,0.4951091336331351,0.4773668438447015,0.4862379887389182,0.0088711448942167,7,high_tail,0.17054001620313897
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,18,14.5,40.08,31.42277328743771,1.3313840838658686,0.3378038905358179,0.3322000402448038,0.3350019653903108,0.002801925145507,8,low_tail,0.16919002195816674
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,23,15.5,43.82,29.313947306352546,1.3455278050728936,0.5069939124939846,0.4822643933343354,0.49462915291416,0.0123647595798246,8,high_tail,0.16919002195816674
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,7,26,18.5,39.56,31.298651837853367,1.3993032887403667,0.3639724525466581,0.35837185199485244,0.3611721522707552,0.0028003002759028,9,low_tail,0.16834089223542537
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,8,24,18.75,49.1925,29.970066634365804,1.4049806347897733,0.5323133447820835,0.5206294204710464,0.5264713826265649,0.0058419621555185,9,high_tail,0.16834089223542537
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,14,10.75,40.2775,31.36677060937083,1.4345550472493187,0.3794104311218579,0.3732983216186456,0.3763543763702517,0.0030560547516061,10,low_tail,0.16814382726248767
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,9,24,10.25,41.42,30.021210344996803,1.449282110992129,0.5475542583843456,0.5269904568000489,0.5372723575921972,0.0102819007921483,10,high_tail,0.16814382726248767
kolkata_ssp585_mid_2050s_heatwave_extreme_2059,Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,5,7,15.75,38.9925,30.5696367450086,1.1914011605523205,0.2933455554328913,0.2852810487722084,0.2893133021025498,0.0040322533303414,11,low_tail,0.16800217157581238
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,30,9.0,39.42,29.02252750020389,1.2087610289810813,0.4613477270087037,0.4341168922069106,0.4477323096078071,0.0136154174008965,11,high_tail,0.16800217157581238
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,7,30,18.25,37.2325,30.764943713105847,1.2109753630522582,0.2948032677190118,0.2867452605367457,0.2907742641278787,0.004029003591133,12,low_tail,0.1665946034470892
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,23,11.5,39.790000000000006,28.85630710606562,1.2283681947703686,0.461397871166101,0.4321036372349072,0.4467507542005041,0.0146471169655969,12,high_tail,0.1665946034470892
kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,Kolkata,ssp245,baseline_2020s,heatwave_extreme,2027,6,22,8.75,40.915000000000006,31.835462924467137,1.4166675247037,0.3692710062748341,0.3646869241474249,0.3669789652111295,0.0022920410637046,13,low_tail,0.165905622717062
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,8,15,15.75,47.8775,30.186733816158473,1.417812861163558,0.5351766289918961,0.5247642551423206,0.5299704420671083,0.0052061869247877,13,high_tail,0.165905622717062
kolkata_ssp585_late_2080s_heatwave_extreme_2080,Kolkata,ssp585,late_2080s,heatwave_extreme,2080,5,2,15.5,40.145,31.354130276925662,1.3710325590554182,0.3585394892162073,0.3529421384036101,0.3557408138099087,0.0027986754062986,14,low_tail,0.1642730455083799
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,20,15.5,47.9,29.805247921854875,1.3862368171479014,0.5228125347245872,0.508994560323731,0.5159035475241591,0.0069089872004281,14,high_tail,0.1642730455083799
kolkata_ssp245_late_2080s_heatwave_extreme_2086,Kolkata,ssp245,late_2080s,heatwave_extreme,2086,7,16,10.75,29.6425,30.24851475169374,1.13390167631475,0.2809216767578613,0.27243929979392767,0.2766804882758945,0.0042411884819668,15,low_tail,0.16155719772433663
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,24,16.5,44.105,28.649256265025453,1.1482350522724185,0.4424788744821979,0.41048434765098507,0.4264816110665915,0.0159972634156064,15,high_tail,0.16155719772433663
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,8,20,18.75,38.5175,30.65783124700396,1.1534443061446418,0.2812137276393535,0.2731589701962958,0.2771863489178246,0.0040273787215288,16,low_tail,0.1606189298568902
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,8,27,12.25,40.795,28.88831071987058,1.1663813457004923,0.4418326574962437,0.4128372384387108,0.4273349479674772,0.0144977095287664,16,high_tail,0.1606189298568902
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,7,26,13.75,39.5075,31.930476609844053,1.4635258407937284,0.3941255347307097,0.38903644313031066,0.3915809889305102,0.0025445458001995,17,low_tail,0.1597277066794856
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,19,16.25,48.7775,30.168807869071426,1.4610360125634168,0.5538532414101953,0.542677367647622,0.5482653045289086,0.0055879368812867,17,high_tail,0.1597277066794856
kolkata_ssp585_mid_2050s_heatwave_extreme_2059,Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,5,7,16.25,38.83,30.381562013578833,1.181724873042143,0.2886405215354284,0.2801711435283285,0.2844058325318784,0.0042346890035499,18,low_tail,0.15910244633299192
phoenix_ssp245_late_2080s_typical_2081,Phoenix,ssp245,late_2080s,typical,2081,8,21,11.25,40.4,28.872253744922464,1.1835318762490192,0.4477429678684203,0.4177566123730963,0.4327497901207583,0.014993177747662,18,high_tail,0.15910244633299192
kolkata_ssp245_late_2080s_typical_2084,Kolkata,ssp245,late_2080s,typical,2084,6,13,15.0,39.39,31.81076811902175,1.5506647355060743,0.4295289820940502,0.426479426820861,0.4280042044574556,0.0015247776365946,19,low_tail,0.15576951029043218
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,16,14.5,48.115,30.527334246911614,1.5524036967717465,0.5852984923844824,0.576508868337054,0.5809036803607681,0.0043948120237142,19,high_tail,0.15576951029043218
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,17,14.25,40.9925,31.80136480608674,1.479870581674242,0.4010444755289474,0.39646364314074656,0.398754059334847,0.0022904161941004,20,low_tail,0.15572298158622
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,17,15.5,48.24,30.28389181767985,1.483620445922876,0.5567674571151674,0.546605408604147,0.5516864328596571,0.0050810242555102,20,high_tail,0.15572298158622
kolkata_ssp585_late_2080s_typical_2088,Kolkata,ssp585,late_2080s,typical,2088,5,17,14.5,41.055,31.849568046986835,1.53131878571137,0.4240567112279336,0.4194758788397327,0.4217662950338331,0.0022904161941004,21,low_tail,0.1545464523859698
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,16,14.25,47.907500000000006,30.457343909131342,1.5442845806302232,0.5786031636139034,0.569813539566475,0.5742083515901891,0.0043948120237142,21,high_tail,0.1545464523859698
kolkata_ssp245_late_2080s_heatwave_extreme_2086,Kolkata,ssp245,late_2080s,heatwave_extreme,2086,7,16,10.0,29.44,30.27542845272957,1.1296255232651788,0.2749105026344787,0.267237868363379,0.2710741854989288,0.0038363171355498,22,low_tail,0.15350095815572112
phoenix_ssp585_mid_2050s_heatwave_extreme_2057,Phoenix,ssp585,mid_2050s,heatwave_extreme,2057,7,18,11.25,42.392500000000005,28.605093495014273,1.1110944919415724,0.4284114607901998,0.3999721070082538,0.4141917838992268,0.014219676890973,22,high_tail,0.15350095815572112
