example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,11,16,15,15.5,33.144999999999996,26.052869490028822,46.31135355487272,0.5514442324638367,0.10790757089853287,0.19347836077213287,0.0855707898736,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,20,15,16.0,33.98,26.02909188949785,47.10659758999298,0.5514442324638367,0.10118260234594345,0.1796087622642517,0.07842615991830826,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,12,13,15,16.0,31.32,25.99178488315768,46.52567221268657,0.5514442324638367,0.10715210437774658,0.20768529176712036,0.10053318738937378,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,2,26,15,15.5,30.605,26.291483175091155,45.10593034894973,0.5514442324638367,0.1132504865527153,0.214720219373703,0.1014697328209877,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,2,23,14,14.5,33.335,26.016447460607814,46.75875850272042,0.5514442324638367,0.10889051109552383,0.2031472623348236,0.09425675123929977,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,2,26,15,15.5,30.605,26.291483175091155,45.10593034894973,0.5514442324638367,0.1132504865527153,0.214720219373703,0.1014697328209877,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,12,4,16,16.75,31.74,25.91536163586891,46.44542006280032,0.5514442324638367,0.09877829253673553,0.18433353304862976,0.08555524051189423,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,2,14,13,14.0,31.31,25.96018027174357,46.97081274508336,0.5514442324638367,0.10845012962818146,0.19296756386756897,0.08451743423938751,S-real,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,2,14,13,14.0,31.31,25.96018027174357,46.97081274508336,0.5514442324638367,0.10845012962818146,0.19296756386756897,0.08451743423938751,S-real,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,11,29,16,16.5,32.835,25.91225427007256,46.55789755671618,0.5514442324638367,0.10027824342250824,0.18433353304862976,0.08405528962612152,COMP-Lo,EQ-Max,0.19884967803955078,0.7502939105033875,0.5514442324638367,COMP-Lo,EQ-Max
