subset,city,steps,comparable_steps,share_of_all_occupied_pct,mu_d_tail_sign_conflict_pct_of_comparable,mu_d_tail_sign_conflict_pct_of_subset
all_occupied,All,2405376,1642322,100.0,4.310604132441751,2.943157327586207
all_occupied,Ahmedabad,400896,287952,16.666666666666664,1.052258709784964,0.7558069923371648
all_occupied,Beijing,400896,264674,16.666666666666664,11.459380218684117,7.56555316091954
all_occupied,Guangzhou,400896,235245,16.666666666666664,5.4925715743161385,3.2230304118773945
all_occupied,Houston,400896,233452,16.666666666666664,5.8778678272192995,3.4228328544061304
all_occupied,Kolkata,400896,267170,16.666666666666664,3.6617135157390424,2.440283764367816
all_occupied,Phoenix,400896,353829,16.666666666666664,0.28488337586800405,0.2514367816091954
above_low_tail_reference,All,2009297,1571422,83.53359308482334,1.7378527219295645,1.3591320745514475
above_low_tail_reference,Ahmedabad,351225,284350,14.601667265325672,0.0003516792685071215,0.0002847177735070112
above_low_tail_reference,Beijing,358102,258660,14.887568513197106,10.353746230572954,7.478595483968255
above_low_tail_reference,Guangzhou,302318,215885,12.568430050021288,0.012506658637700629,0.008930993192598522
above_low_tail_reference,Houston,289577,205783,12.03874155225628,0.035474261722299706,0.02520918443108396
above_low_tail_reference,Kolkata,313631,253937,13.038751529906342,0.00826976769828737,0.006695766681227302
above_low_tail_reference,Phoenix,394444,352807,16.398434174116648,0.11507708180393246,0.10292969344190811
between_low_and_upper_tail_reference,All,1962383,1524508,81.58321193859089,1.7913320231838732,1.3916243669049315
between_low_and_upper_tail_reference,Ahmedabad,341492,274617,14.197031981694339,0.00036414351624262155,0.0002928326285828072
between_low_and_upper_tail_reference,Beijing,354470,255028,14.736573408897403,10.501199868249762,7.555223291110673
between_low_and_upper_tail_reference,Guangzhou,297349,210916,12.361851120157514,0.012801304784843256,0.009080239045700506
between_low_and_upper_tail_reference,Houston,287544,203750,11.954222541507024,0.035828220858895705,0.025387418968923017
between_low_and_upper_tail_reference,Kolkata,302975,243281,12.595743867071093,0.008631993456126866,0.006931264955854444
between_low_and_upper_tail_reference,Phoenix,378553,336916,15.737789019263515,0.12050481425637252,0.10725050389245364
above_upper_tail_reference,All,46914,46914,1.9503811462324394,0.0,0.0
above_upper_tail_reference,Ahmedabad,9733,9733,0.40463528363133244,0.0,0.0
above_upper_tail_reference,Beijing,3632,3632,0.150995104299702,0.0,0.0
above_upper_tail_reference,Guangzhou,4969,4969,0.2065789298637718,0.0,0.0
above_upper_tail_reference,Houston,2033,2033,0.084519010749255,0.0,0.0
above_upper_tail_reference,Kolkata,10656,10656,0.44300766283524906,0.0,0.0
above_upper_tail_reference,Phoenix,15891,15891,0.660645154853129,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,All,323481,323481,13.448250917943804,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Ahmedabad,68582,68582,2.8511966528309918,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Beijing,21950,21950,0.9125392454235844,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Guangzhou,50170,50170,2.085744598765432,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Houston,49441,49441,2.0554374866964666,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Kolkata,79792,79792,3.3172360578969773,0.0,0.0
diagnostic_high_tail_p_disc_ge_020,Phoenix,53546,53546,2.2260968763303532,0.0,0.0
