weather,city,scenario_raw,time_slice,severity,weather_year,bottom_area_weighted_high_tail_pct,bottom_unweighted_high_tail_pct,bottom_any_zone_high_tail_pct,middle_area_weighted_high_tail_pct,middle_unweighted_high_tail_pct,middle_any_zone_high_tail_pct,top_area_weighted_high_tail_pct,top_unweighted_high_tail_pct,top_any_zone_high_tail_pct,P1_bottom_high_tail_pct,P1_middle_high_tail_pct,P1_top_high_tail_pct,P2_bottom_high_tail_pct,P2_middle_high_tail_pct,P2_top_high_tail_pct,P3_bottom_high_tail_pct,P3_middle_high_tail_pct,P3_top_high_tail_pct,P4_bottom_high_tail_pct,P4_middle_high_tail_pct,P4_top_high_tail_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,14.938305430725856,19.770114942528735,54.18462643678161,22.25948112377438,24.08524904214559,48.227969348659,17.685774422458316,20.02634099616858,40.6669061302682,53.292624521072796,45.92911877394636,38.16451149425287,13.026819923371647,17.409003831417625,16.22365900383142,14.325909961685824,23.629070881226053,19.013409961685824,10.356800766283525,14.840756704980842,12.793342911877396
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,14.938305430725856,19.770114942528735,54.18462643678161,22.25948112377438,24.08524904214559,48.227969348659,17.685774422458316,20.02634099616858,40.6669061302682,53.292624521072796,45.92911877394636,38.16451149425287,13.026819923371647,17.409003831417625,16.22365900383142,14.325909961685824,23.629070881226053,19.013409961685824,10.356800766283525,14.840756704980842,12.793342911877396
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,8.895163920147937,12.877155172413794,44.30076628352491,12.692157056827224,15.02155172413793,37.577825670498086,10.797850124615143,13.164511494252872,32.549090038314176,43.29501915708812,35.530411877394634,30.160440613026818,6.627155172413793,9.327107279693486,9.40493295019157,6.0584291187739465,13.625478927203066,11.302681992337165,5.393917624521072,7.8484195402298855,7.7526340996168575
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,17.08350665905288,22.321599616858236,58.740421455938694,24.912595093320114,26.678639846743295,52.304837164750964,20.6894207165925,23.032806513409962,45.61781609195402,57.79454022988506,50.053879310344826,42.63649425287356,15.355603448275861,19.414511494252874,18.869731800766285,17.271312260536398,26.544540229885055,22.383860153256705,11.787595785440613,16.217672413793103,14.499521072796934
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,17.08350665905288,22.321599616858236,58.740421455938694,24.912595093320114,26.678639846743295,52.304837164750964,20.6894207165925,23.032806513409962,45.61781609195402,57.79454022988506,50.053879310344826,42.63649425287356,15.355603448275861,19.414511494252874,18.869731800766285,17.271312260536398,26.544540229885055,22.383860153256705,11.787595785440613,16.217672413793103,14.499521072796934
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,13.182353315498313,17.149185823754788,47.98251915708812,17.81009487403326,19.677921455938694,42.30124521072797,15.913078326089488,17.850814176245212,37.553879310344826,47.32399425287356,40.816570881226056,35.47054597701149,10.961446360153257,13.541666666666666,14.020593869731801,11.88338122605364,18.324952107279692,16.331417624521073,8.381226053639846,11.434386973180075,10.79382183908046
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,18.887056838700833,22.9382183908046,54.05890804597702,23.684183571940725,25.217911877394638,47.56345785440613,21.265699355010597,23.005268199233715,42.337164750957854,53.316570881226056,46.10272988505747,40.39750957854406,16.708572796934863,19.46240421455939,19.58213601532567,18.444683908045977,23.659003831417625,21.880986590038315,13.48778735632184,16.361350574712645,15.002394636015326
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,18.887056838700833,22.9382183908046,54.05890804597702,23.684183571940725,25.217911877394638,47.56345785440613,21.265699355010597,23.005268199233715,42.337164750957854,53.316570881226056,46.10272988505747,40.39750957854406,16.708572796934863,19.46240421455939,19.58213601532567,18.444683908045977,23.659003831417625,21.880986590038315,13.48778735632184,16.361350574712645,15.002394636015326
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,8.88399039159094,12.440134099616857,42.450909961685824,12.592042979218416,14.607279693486591,36.57806513409962,10.497875220327911,12.533524904214561,31.166187739463602,41.75047892720307,34.4169061302682,28.717672413793103,5.884818007662835,8.578783524904214,8.47102490421456,6.166187739463601,13.176484674329503,10.835727969348659,4.944923371647509,7.8244731800766285,7.369492337164751
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,11.420385988165709,15.01317049808429,45.94109195402299,16.003942681763476,17.619731800766285,39.47557471264368,13.608982991957586,15.293342911877394,33.01005747126437,45.20474137931034,37.877155172413794,31.36973180076628,8.84219348659004,12.02705938697318,11.829501915708812,9.123563218390805,16.157806513409962,14.128352490421456,6.052442528735632,9.243295019157088,8.45905172413793
