zone,floor,kind,position,position_name,area_m2,high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv,mean_air_temp_c,mean_radiant_temp_c,warm_dominant_high_tail_pct,cold_dominant_high_tail_pct
core_bottom,bottom,core,core,Core,983.54,7.258948289165603,0.10193377078078632,0.07443314048252272,0.02750063029826361,0.24522015576639924,24.5224628837327,26.465381105746133,100.0,0.0
perimeter_bot_zn_1,bottom,perimeter,P1,P1 south,207.34,30.510074100681138,0.1638643990791062,0.14104185173165362,0.022822547347452395,0.4507457904729296,25.20046589080175,27.18124696875266,100.0,0.0
perimeter_bot_zn_2,bottom,perimeter,P2,P2 east,131.26,10.374386374521073,0.10249671339533561,0.07398727935227196,0.028509434043063633,0.21857152437632488,24.332295450020602,26.401853605664336,100.0,0.0
perimeter_bot_zn_3,bottom,perimeter,P3,P3 north,207.34,11.665036983822903,0.10617304046022617,0.07720367708338736,0.028969363376838832,0.2137409624050773,24.572217525730167,26.018679837343022,100.0,0.0
perimeter_bot_zn_4,bottom,perimeter,P4,P4 west,131.25,8.345181792784164,0.09719187299690646,0.0683309837083869,0.02886088928851952,0.20210240610738237,24.250039720456623,26.391258420914916,100.0,0.0
core_mid,middle,core,core,Core,983.54,12.911785932843763,0.10837060232277157,0.08140211867012928,0.026968483652642282,0.2564097802854816,24.7869628229051,26.199408952711934,100.0,0.0
perimeter_mid_zn_1,middle,perimeter,P1,P1 south,207.34,27.9063231694338,0.161172857929969,0.13839536729127244,0.022777490638696548,0.45103169664517967,25.173675079352883,27.280993221175034,100.0,0.0
perimeter_mid_zn_2,middle,perimeter,P2,P2 east,131.26,12.60979572424436,0.1076545032647377,0.08008983064091324,0.027564672623824404,0.2461491039063776,24.36226824667414,26.607329600250704,100.0,0.0
perimeter_mid_zn_3,middle,perimeter,P3,P3 north,207.34,16.969696213814387,0.1205496778426393,0.09369431914799352,0.026855358694645712,0.28480563490478694,24.758153321080055,26.402501774492038,100.0,0.0
perimeter_mid_zn_4,middle,perimeter,P4,P4 west,131.25,10.99004895700298,0.10405117072092242,0.07623517963137087,0.027815991089551552,0.23351382952888286,24.296877531220566,26.604729093047542,100.0,0.0
core_top,top,core,core,Core,983.54,11.305425846104725,0.10191570938868544,0.07349494766853704,0.028420761720148388,0.21763734881177707,24.56144298638169,26.07432861004207,100.0,0.0
perimeter_top_zn_1,top,perimeter,P1,P1 south,207.34,23.58986703118348,0.1470663246124886,0.12266172116176084,0.024404603450727844,0.3924550145284458,24.8805588709139,27.100334024345482,100.0,0.0
perimeter_top_zn_2,top,perimeter,P2,P2 east,131.26,12.855578504150703,0.10833897088017981,0.08012801260472559,0.028210958275454195,0.2391422058467211,24.30209930386597,26.55823103091812,100.0,0.0
perimeter_top_zn_3,top,perimeter,P3,P3 north,207.34,15.009836300021288,0.11472572399538022,0.08630664341290228,0.028419080582477944,0.24861170668235386,24.548345858785694,26.272615465088073,100.0,0.0
perimeter_top_zn_4,top,perimeter,P4,P4 west,131.25,10.449301897083865,0.10242888743665494,0.07369651173027097,0.028732375706383973,0.21670998918256854,24.191948808765357,26.5196009902924,100.0,0.0
