case,err,severe_lines,fatal_lines,warmup_convergence_lines,summary_warnings,summary_severe,completed_successfully,summary
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029/diagnostic_reference/eplusout.err,0,0,0,20646,0,True,************* EnergyPlus Completed Successfully-- 20646 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 54.50sec
ahmedabad_ssp245_baseline_2020s_hot_2029,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_baseline_2020s_hot_2029/diagnostic_reference/eplusout.err,0,0,0,20646,0,True,************* EnergyPlus Completed Successfully-- 20646 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.50sec
ahmedabad_ssp245_baseline_2020s_typical_2025,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_baseline_2020s_typical_2025/diagnostic_reference/eplusout.err,1,0,1,28228,1,True,************* EnergyPlus Completed Successfully-- 28228 Warning; 1 Severe Errors; Elapsed Time=00hr 00min 58.60sec
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081/diagnostic_reference/eplusout.err,0,0,0,20347,0,True,************* EnergyPlus Completed Successfully-- 20347 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.57sec
ahmedabad_ssp245_late_2080s_hot_2081,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_late_2080s_hot_2081/diagnostic_reference/eplusout.err,0,0,0,20347,0,True,************* EnergyPlus Completed Successfully-- 20347 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.44sec
ahmedabad_ssp245_late_2080s_typical_2086,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_late_2080s_typical_2086/diagnostic_reference/eplusout.err,0,0,0,20415,0,True,************* EnergyPlus Completed Successfully-- 20415 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.89sec
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059/diagnostic_reference/eplusout.err,0,0,0,20213,0,True,************* EnergyPlus Completed Successfully-- 20213 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.68sec
ahmedabad_ssp245_mid_2050s_hot_2059,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_mid_2050s_hot_2059/diagnostic_reference/eplusout.err,0,0,0,20213,0,True,************* EnergyPlus Completed Successfully-- 20213 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.50sec
ahmedabad_ssp245_mid_2050s_typical_2058,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_mid_2050s_typical_2058/diagnostic_reference/eplusout.err,0,0,0,20413,0,True,************* EnergyPlus Completed Successfully-- 20413 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.09sec
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_near_2030s_heatwave_extreme_2034/diagnostic_reference/eplusout.err,0,0,0,20596,0,True,************* EnergyPlus Completed Successfully-- 20596 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.56sec
ahmedabad_ssp245_near_2030s_hot_2034,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_near_2030s_hot_2034/diagnostic_reference/eplusout.err,0,0,0,20596,0,True,************* EnergyPlus Completed Successfully-- 20596 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.88sec
