weather,city,scenario,time_slice,severity,weather_year,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,equal_zone_mean_high_pct,area_weighted_mean_high_count,area_weighted_mean_high_pct,zone_p90_high_count,zone_p90_high_pct,any_zone_high_count,any_zone_high_pct,hidden_any_zone_count,hidden_any_zone_pct,hidden_p90_count,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.05,16704,250560,16549.95700284413,248564,16686,99.89224137931035,16691,99.92217432950191,16700,99.97605363984674,16704,100.0,18,0.10775862068965517,14,0.08381226053639847,99.0778077277546,99.20338441890166
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.06,16704,250560,14303.36208374229,219959,16021,95.91115900383141,15896,95.16283524904215,16527,98.94037356321839,16617,99.47916666666666,596,3.5680076628352495,506,3.0292145593869733,85.62836496493229,87.78695721583652
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.07,16704,250560,11843.587605049186,186389,13871,83.03999042145594,13302,79.63362068965517,15733,94.18702107279694,16341,97.82686781609196,2470,14.786877394636017,1865,11.16499042145594,70.90270357428871,74.3889687100894
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.08,16704,250560,7202.936889199327,115816,11489,68.77993295019157,10869,65.06824712643679,13053,78.14295977011494,14788,88.52969348659003,3299,19.749760536398465,1629,9.752155172413794,43.12103022748639,46.22286079182631
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.09,16704,250560,6568.70889508429,104504,9851,58.97389846743295,9031,54.064894636015325,11895,71.21048850574712,13990,83.75239463601532,4139,24.778496168582375,2071,12.398227969348659,39.32416723589733,41.70817369093231
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.1,16704,250560,5710.299577093607,91370,8781,52.56824712643679,7811,46.76125478927203,10829,64.82878352490421,12741,76.27514367816092,3960,23.70689655172414,2048,12.260536398467432,34.18522256401824,36.46631545338442
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.11,16704,250560,5318.066563097753,86408,8005,47.92265325670498,6767,40.51125478927203,10379,62.13481800766284,12582,75.32327586206897,4577,27.400622605363985,2374,14.212164750957854,31.837084309732717,34.48595146871009
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.12,16704,250560,4969.002543058373,81633,7314,43.785919540229884,5816,34.81800766283525,9838,58.89607279693486,12097,72.41977969348659,4783,28.633860153256705,2524,15.110153256704981,29.74738112463106,32.58022030651341
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.13,16704,250560,4202.0572198169875,69857,6573,39.349856321839084,5016,30.028735632183906,9270,55.495689655172406,11089,66.3852969348659,4516,27.035440613026818,2697,16.145833333333336,25.15599389258254,27.880348020434226
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.14,16704,250560,4169.23035452281,69278,5863,35.099377394636015,4493,26.89774904214559,9164,54.861111111111114,10945,65.52322796934867,5082,30.423850574712645,3301,19.761733716475096,24.959472907823333,27.6492656449553
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.15,16704,250560,4152.659192042053,68937,5145,30.801005747126435,4060,24.305555555555554,9070,54.29837164750958,10878,65.12212643678161,5733,34.321120689655174,3925,23.49736590038314,24.860268151592752,27.513170498084293
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,ordinal,broad_tail,0.16,16704,250560,4100.260100477902,68021,4495,26.90972222222222,3737,22.37188697318008,8934,53.48419540229885,10683,63.95474137931034,6188,37.04501915708812,4439,26.57447318007663,24.54657627201809,27.14758939974457
