group_scope,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
global,broad_tail,0.05,any_zone,2405376,2405160,2405109,2405042,2405227,118,67,185,99.99102011494253,99.98889986430396,-0.002120250638569604,0.007691105257556407,0.9999230841829067
global,broad_tail,0.05,area_weighted_mean,2405376,2398030,2397251,2395177,2400104,2853,2074,4927,99.69460076096212,99.66221497179652,-0.032385789165602384,0.20483284110259684,0.9979471722892008
global,broad_tail,0.05,equal_zone_mean,2405376,2393875,2392685,2389407,2397153,4468,3278,7746,99.52186269423159,99.47239017933163,-0.04947251489995743,0.3220286558109834,0.9967686668310283
global,broad_tail,0.05,zone_p90,2405376,2403896,2403652,2403070,2404478,826,582,1408,99.93847115793955,99.92832721370796,-0.01014394423158791,0.05853554704129416,0.9994144259169766
global,broad_tail,0.06,any_zone,2405376,2380222,2377098,2370062,2387258,10160,7036,17196,98.95425912622392,98.82438338122606,-0.12987574499787144,0.7148986270753512,0.9927967567812109
global,broad_tail,0.06,area_weighted_mean,2405376,2202226,2190050,2161058,2231218,41168,28992,70160,91.55433495636441,91.04813550979141,-0.5061994465730097,2.9167997020008514,0.9685552913251865
global,broad_tail,0.06,equal_zone_mean,2405376,2178383,2166441,2138621,2206203,39762,27820,67582,90.56309699606216,90.0666257583014,-0.49647123776074925,2.8096231108982543,0.9693672794389274
global,broad_tail,0.06,zone_p90,2405376,2319150,2311984,2293900,2337234,25250,18084,43334,96.41527977330779,96.1173637718178,-0.29791600148999575,1.8015478661132396,0.9814592804999414
global,broad_tail,0.07,any_zone,2405376,2284059,2274612,2251615,2307056,32444,22997,55441,94.9564226133461,94.56367736270754,-0.39274525063856963,2.3048787382928904,0.9759689405025279
global,broad_tail,0.07,area_weighted_mean,2405376,1735541,1718754,1671652,1782643,63889,47102,110991,72.15258653948489,71.45469149106003,-0.6978950484248616,4.61428899265645,0.9377379542622948
global,broad_tail,0.07,equal_zone_mean,2405376,1794297,1780360,1733842,1840815,60455,46518,106973,74.5952815692848,74.01587111536824,-0.5794104539165602,4.447246501170711,0.9418882397199067
global,broad_tail,0.07,zone_p90,2405376,2169024,2154925,2123577,2200372,45447,31348,76795,90.17401021711366,89.587864849404,-0.5861453677096636,3.1926401527245636,0.9650990832459239
global,broad_tail,0.08,any_zone,2405376,1925781,1910354,1844362,1991773,81419,65992,147411,80.06153715676884,79.42018212537249,-0.6413550313963389,6.128397389846743,0.9259900601122718
global,broad_tail,0.08,area_weighted_mean,2405376,1278673,1263696,1217891,1324478,60782,45805,106587,53.15896558375904,52.53631864623244,-0.622646937526607,4.431199113984674,0.9195252771280459
global,broad_tail,0.08,equal_zone_mean,2405376,1332586,1320730,1272821,1380495,59765,47909,107674,55.400319949978716,54.90742403682418,-0.4928959131545338,4.47638955406556,0.9220033393818884
global,broad_tail,0.08,zone_p90,2405376,1675933,1660434,1590215,1746152,85718,70219,155937,69.67447085195828,69.03012252554278,-0.644348326415496,6.482853408365262,0.9106967778291924
global,broad_tail,0.09,any_zone,2405376,1702642,1686900,1623518,1766024,79124,63382,142506,70.78485858343976,70.13040788633461,-0.6544506971051511,5.924479166666666,0.9193068723867852
global,broad_tail,0.09,area_weighted_mean,2405376,980492,967310,930092,1017710,50400,37218,87618,40.7625252767135,40.21450284695615,-0.5480224297573435,3.6425905970625796,0.9139067121282094
global,broad_tail,0.09,equal_zone_mean,2405376,1036037,1025309,984447,1076899,51590,40862,92452,43.07172766336739,42.62572670551298,-0.4460009578544062,3.843557098765432,0.914149794920415
global,broad_tail,0.09,zone_p90,2405376,1406823,1393718,1339289,1461252,67534,54429,121963,58.486614982439335,57.94179371541082,-0.5448212670285227,5.070433894742444,0.9165352724923559
global,broad_tail,0.1,any_zone,2405376,1462083,1447519,1405806,1503796,56277,41713,97990,60.783968909642404,60.178491844934015,-0.6054770647083866,4.073791373988931,0.9348382360373348
global,broad_tail,0.1,area_weighted_mean,2405376,794298,782724,750950,826072,43348,31774,75122,33.0217812100894,32.5406090357599,-0.4811721743295019,3.123087617071094,0.9090611956342789
global,broad_tail,0.1,equal_zone_mean,2405376,859598,849210,816451,892357,43147,32759,75906,35.73653349829715,35.304667544699875,-0.4318659535972755,3.1556812739463607,0.9149376314636407
global,broad_tail,0.1,zone_p90,2405376,1222136,1209035,1166256,1264915,55880,42779,98659,50.80852224350788,50.26386727064709,-0.5446549728607918,4.101604073541933,0.9220034547775937
global,broad_tail,0.11,any_zone,2405376,1412993,1398722,1353389,1458326,59604,45333,104937,58.74312373616433,58.14982771924223,-0.5932960169220944,4.362602769795658,0.9280428381582719
global,broad_tail,0.11,area_weighted_mean,2405376,655791,645109,619475,681425,36316,25634,61950,27.263554637611747,26.81946606268625,-0.4440885749255002,2.5754809227330777,0.9090875738342444
global,broad_tail,0.11,equal_zone_mean,2405376,749614,739695,711643,777666,37971,28052,66023,31.16410906236696,30.75174109993614,-0.41236796243082163,2.744809959025117,0.9151010845272907
global,broad_tail,0.11,zone_p90,2405376,1128929,1116575,1073242,1172262,55687,43333,99020,46.93357712058322,46.41997758354619,-0.5135995370370371,4.116612122179651,0.9155308284325517
global,broad_tail,0.12,any_zone,2405376,1317092,1303519,1260348,1360263,56744,43171,99915,54.75617949127288,54.19190180661984,-0.5642776846530438,4.153820442209451,0.9265472926926631
global,broad_tail,0.12,area_weighted_mean,2405376,561194,550968,530767,581395,30427,20201,50628,23.330822291400597,22.905691251596423,-0.425131039804172,2.104785280970626,0.9129197877518727
global,broad_tail,0.12,equal_zone_mean,2405376,659761,650343,625462,684642,34299,24881,59180,27.42860159908472,27.037061981162196,-0.39153961792252023,2.4603222115793955,0.913560663821384
global,broad_tail,0.12,zone_p90,2405376,1028342,1016848,979071,1066119,49271,37777,87048,42.75181925819498,42.27397296722009,-0.4778462909748829,3.6188936781609193,0.918350578124956
global,broad_tail,0.13,any_zone,2405376,1163038,1151616,1112394,1202260,50644,39222,89866,48.35160906236696,47.87675606641124,-0.4748529959557259,3.7360479193273735,0.9252524412356729
global,broad_tail,0.13,area_weighted_mean,2405376,494629,484680,468585,510724,26044,16095,42139,20.563479472647934,20.14986430395913,-0.4136151686888037,1.7518674835036183,0.9174916393198674
global,broad_tail,0.13,equal_zone_mean,2405376,584015,574833,553132,605716,30883,21701,52584,24.279572091847594,23.8978438298212,-0.3817282620263942,2.18610312899106,0.913187038149892
global,broad_tail,0.13,zone_p90,2405376,936202,926264,893367,969099,42835,32897,75732,38.92123310451256,38.50807524478502,-0.4131578597275436,3.148447477650064,0.9218531852782843
global,broad_tail,0.14,any_zone,2405376,1140381,1129241,1091291,1178331,49090,37950,87040,47.40967732279693,46.94654806566624,-0.46312925713069386,3.6185610898254574,0.9261328098810945
global,broad_tail,0.14,area_weighted_mean,2405376,450422,440662,427174,463910,23248,13488,36736,18.725637904427415,18.3198801351639,-0.4057577692635164,1.5272456364410387,0.9208122265094523
global,broad_tail,0.14,equal_zone_mean,2405376,524542,515476,496539,543479,28003,18937,46940,21.807068832481907,21.43016310131971,-0.37690573116219667,1.9514620583226905,0.9136305174624962
global,broad_tail,0.14,zone_p90,2405376,904096,894279,862188,936187,41908,32091,73999,37.58647296722009,37.178345506066414,-0.40812746115368237,3.07640052948063,0.920957031020512
global,broad_tail,0.15,any_zone,2405376,1085129,1074090,1036367,1122852,48762,37723,86485,45.112655983929336,44.653725654533844,-0.45893032939548745,3.5954877740527884,0.9229773825936098
global,broad_tail,0.15,area_weighted_mean,2405376,417273,407659,395903,429029,21370,11756,33126,17.347516562899106,16.947828530757768,-0.39968803214133675,1.377165150063857,0.9227884362129366
global,broad_tail,0.15,equal_zone_mean,2405376,476078,467177,450090,493165,25988,17087,43075,19.792248696253726,19.42220259951043,-0.370046096743295,1.790780318752661,0.9126560076242232
global,broad_tail,0.15,zone_p90,2405376,875274,865554,834919,905909,40355,30635,70990,36.388240341634734,35.984145514048535,-0.4040948275862069,2.9513057418050237,0.9216367206860733
global,broad_tail,0.16,any_zone,2405376,1047365,1036868,1002574,1081659,44791,34294,79085,43.54267274638144,43.1062752767135,-0.4363974696679438,3.2878435637505325,0.9268854602051109
global,broad_tail,0.16,area_weighted_mean,2405376,389937,380524,369698,400763,20239,10826,31065,16.2110622206258,15.81973047041294,-0.39133175021285654,1.2914820801404852,0.9224853591773692
global,broad_tail,0.16,equal_zone_mean,2405376,436054,427344,411825,451573,24229,15519,39748,18.128309253937847,17.766203703703702,-0.36210555023414215,1.6524651447424437,0.9119787941263096
global,broad_tail,0.16,zone_p90,2405376,848654,839210,809953,877911,38701,29257,67958,35.28155265538527,34.8889321253725,-0.39262053001277136,2.825254762664964,0.9225912421646385
global,broad_tail,0.17,any_zone,2405376,1044994,1034538,1000569,1078963,44425,33969,78394,43.444101878458916,43.009408924010216,-0.43469295444870154,3.2591162462750107,0.9273431989790196
global,broad_tail,0.17,area_weighted_mean,2405376,365244,356233,346015,375462,19229,10218,29447,15.184486749680715,14.809867563324818,-0.37461918635589614,1.2242160892933163,0.9215712908363562
