model,component,threshold,predicted_positive_pct,precision,recall,f1
ordinal,outermost,0.025,58.54295099671511,0.09308224442736357,0.8970370370370371,0.16866295264623957
ordinal,outermost,0.05,29.073482428115017,0.15554867667543723,0.7444444444444445,0.25732940724619124
ordinal,outermost,0.075,18.777842775502858,0.2096812844476396,0.6481481481481481,0.31685678073510776
ordinal,outermost,0.1,14.021509247176347,0.2522464698331194,0.5822222222222222,0.35199283475145543
ordinal,outermost,0.15,9.395671151509697,0.3227969348659004,0.49925925925925924,0.39208842350203604
ordinal,outermost,0.2,5.287314943976961,0.4195744680851064,0.36518518518518517,0.3904950495049505
ordinal,cold_endpoint,0.025,14.939477118300859,0.09457831325301205,0.708803611738149,0.16688812117990964
ordinal,cold_endpoint,0.05,6.907258245961391,0.16221498371335505,0.5620767494356659,0.2517694641051567
ordinal,cold_endpoint,0.075,3.262385816496423,0.26068965517241377,0.42663656884875845,0.3236301369863014
ordinal,cold_endpoint,0.1,2.897898573549926,0.2841614906832298,0.41309255079006774,0.33670653173873044
ordinal,cold_endpoint,0.15,2.123925662601809,0.3495762711864407,0.3724604966139955,0.36065573770491804
ordinal,cold_endpoint,0.2,1.4039508617198397,0.4551282051282051,0.32054176072234764,0.376158940397351
ordinal,warm_endpoint,0.025,31.8813841515547,0.1122088920254058,0.87651598676957,0.19894894894894896
ordinal,warm_endpoint,0.05,19.488817891373802,0.16139459709074117,0.7706725468577729,0.26689576174112256
ordinal,warm_endpoint,0.075,13.814516491922783,0.20586319218241042,0.6968026460859978,0.31782750817198896
ordinal,warm_endpoint,0.1,10.691625793097241,0.242003367003367,0.6339581036383682,0.3502893694791349
ordinal,warm_endpoint,0.15,6.961256356027539,0.31221719457013575,0.5325248070562293,0.39364303178484106
ordinal,warm_endpoint,0.2,3.4963776267830626,0.4195624195624196,0.35942668136714445,0.38717339667458434
ordinal,broad_tail,0.1,77.2982945596904,0.24752590522761672,0.9304157549234136,0.39102446201949603
ordinal,broad_tail,0.15,56.36502722404716,0.2967427750279419,0.8133479212253829,0.43483855872718763
ordinal,broad_tail,0.2,37.23619673311434,0.3656797583081571,0.662144420131291,0.4711560918645387
ordinal,broad_tail,0.25,25.595104171354006,0.4236990154711674,0.5273522975929978,0.469877169038799
ordinal,broad_tail,0.3,17.990370337038204,0.4867433716858429,0.4258205689277899,0.4542483660130719
nominal,outermost,0.025,59.54641587544436,0.09287387591626993,0.9103703703703704,0.168552424055407
nominal,outermost,0.05,27.89452369167079,0.16050975963865138,0.737037037037037,0.2636110743144787
nominal,outermost,0.075,19.421320253791116,0.20597775718257647,0.6585185185185185,0.3138016237204377
nominal,outermost,0.1,14.525491607793729,0.24814126394052044,0.5933333333333334,0.34993446920052423
nominal,outermost,0.15,8.891688790892319,0.33805668016194335,0.4948148148148148,0.4016837041491281
nominal,outermost,0.2,5.93079242226522,0.3945371775417299,0.3851851851851852,0.38980509745127434
nominal,cold_endpoint,0.025,20.649777257795975,0.07474395293092177,0.7742663656884876,0.1363275039745628
nominal,cold_endpoint,0.05,7.420240291589794,0.14978775015160703,0.5575620767494357,0.2361376673040153
nominal,cold_endpoint,0.075,3.941862034828781,0.2328767123287671,0.4604966139954853,0.30932524639878695
nominal,cold_endpoint,0.1,2.366917157899474,0.33269961977186313,0.39503386004514673,0.36119711042311664
nominal,cold_endpoint,0.15,2.123925662601809,0.3580508474576271,0.38148984198645597,0.3693989071038251
nominal,cold_endpoint,0.2,1.3229536966206183,0.4489795918367347,0.2979683972911964,0.3582089552238806
nominal,warm_endpoint,0.025,34.02780902668406,0.10565987833906373,0.8809261300992283,0.18868815680717912
nominal,warm_endpoint,0.05,17.283895063672773,0.1780786253579797,0.7541345093715546,0.2881213142375737
nominal,warm_endpoint,0.075,13.504027359042434,0.21059646784405198,0.6968026460859978,0.323439099283521
nominal,warm_endpoint,0.1,10.489132880349187,0.24581724581724582,0.6317530319735392,0.35392217418159355
nominal,warm_endpoint,0.15,6.385276515321964,0.33051444679351655,0.5170893054024256,0.4032674118658641
nominal,warm_endpoint,0.2,4.202852900148494,0.3875802997858672,0.39911797133406834,0.3932645301466594
nominal,broad_tail,0.1,79.28272510462135,0.24445201203246494,0.9424507658643326,0.38821037450989226
nominal,broad_tail,0.15,57.59348422805202,0.29463239315571527,0.825164113785558,0.4342218895733779
nominal,broad_tail,0.2,39.22512712055078,0.35390616037627626,0.675054704595186,0.46436366373146687
nominal,broad_tail,0.25,26.57606983755569,0.41550965120216726,0.536980306345733,0.46849942726231386
nominal,broad_tail,0.3,18.25586104486343,0.48829184126201625,0.43347921225382935,0.45925582473629306
