weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,0.3652047510663122,0.010574774709942175,0.7908319411632104,0.034055492622794066,0.19447270386327828,0.5962363122972836,0.43133333333333346,0.02790493295019157
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,0.3652047510663122,0.010574774709942175,0.7908319411632104,0.034055492622794066,0.19447270386327828,0.5962363122972836,0.43133333333333346,0.02790493295019157
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,0.31831037834551024,0.00898648099666306,0.901269286822237,0.03144968872806401,0.1994294243834322,0.6008751447084429,0.43599999999999994,0.026625478927203065
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,0.3341388696298221,0.011331816814007285,1.0047475875716083,0.03641829605991415,0.18085081201372055,0.5746901799320325,0.4246666666666665,0.028611111111111108
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,0.3341388696298221,0.011331816814007285,1.0047475875716083,0.03641829605991415,0.18085081201372055,0.5746901799320325,0.4246666666666665,0.028611111111111108
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,0.41205047647492665,0.009778221602814068,0.9182833333031628,0.03288718202364023,0.20521255987549056,0.5835911255146916,0.4273333333333331,0.026443047573435505
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,0.3309079149486621,0.010783975407114408,0.8068672403785981,0.03454065836872944,0.17806321426532673,0.5889124504193505,0.4173333333333332,0.027234833971902937
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,0.3309079149486621,0.010783975407114408,0.8068672403785981,0.03454065836872944,0.17806321426532673,0.5889124504193505,0.4173333333333332,0.027234833971902937
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,0.31456755252980145,0.008769801896446822,0.8548645103133371,0.030668975844105863,0.2023154284331132,0.586682569580125,0.4479999999999996,0.026289950510855684
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,0.3263149327176017,0.009372944028495997,0.8664591444073473,0.031747710793911366,0.1888797157965981,0.6110813635806186,0.43666666666666676,0.02667808109833972
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,0.3263149327176017,0.009372944028495997,0.8664591444073473,0.031747710793911366,0.1888797157965981,0.6110813635806186,0.43666666666666676,0.02667808109833972
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,0.33084199454361896,0.00844399399228745,0.945473314305981,0.029561548556375574,0.17651392616598155,0.5861405109781486,0.43066666666666664,0.025949592911877394
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,0.34384597062551764,0.011370257545158675,0.8996165565030375,0.035576426497213536,0.19381294112213293,0.6093494129849832,0.430666666666667,0.0282117656449553
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,0.34384597062551764,0.011370257545158675,0.8996165565030375,0.035576426497213536,0.19381294112213293,0.6093494129849832,0.430666666666667,0.0282117656449553
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,0.33389369146702375,0.00920080431190837,0.8258175761364854,0.031639081483074455,0.1912871628568302,0.6152315555439016,0.42266666666666663,0.026780252234993616
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,0.3330069629621065,0.012365857610104822,0.8292866154936236,0.038017660906600644,0.18934551562078636,0.6168408113051322,0.43933333333333313,0.029562100893997443
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,0.3330069629621065,0.012365857610104822,0.8292866154936236,0.038017660906600644,0.18934551562078636,0.6168408113051322,0.43933333333333313,0.029562100893997443
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,0.3266878016679756,0.010709447931173127,0.8271560488856808,0.034656670592457826,0.21079550848925707,0.5970700273055791,0.4633333333333337,0.02783696519795658
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,0.327189762604152,0.010758787448704754,0.8475816467775588,0.03487287498662163,0.19825171621377122,0.5882767621972813,0.42666666666666675,0.02826508620689655
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,0.3263149327176017,0.01044308891514142,0.8428828416022396,0.03401505617424355,0.19923857780089071,0.5865983353585545,0.45399999999999985,0.027524185823754786
