weather,city,scenario,time_slice,severity,weather_year,n_steps,corrected_mean_pmv_mean,corrected_mean_pmv_sd,corrected_mean_pmv_p05,corrected_mean_pmv_p50,corrected_mean_pmv_p95,corrected_mean_pmv_min,corrected_mean_pmv_max,corrected_mean_abs_pmv,corrected_area_pmv_mean,corrected_abs_pmv_ge_0p5_pct,corrected_abs_pmv_ge_1p0_pct,corrected_abs_pmv_ge_2p0_pct,stored_mean_pmv_mean,stored_mean_pmv_sd,stored_mean_pmv_p05,stored_mean_pmv_p50,stored_mean_pmv_p95,stored_mean_pmv_min,stored_mean_pmv_max,stored_mean_abs_pmv,stored_abs_pmv_ge_0p5_pct,stored_abs_pmv_ge_1p0_pct,stored_abs_pmv_ge_2p0_pct,corrected_minus_stored_pmv_mean,corrected_vs_stored_pmv_mae,corrected_vs_stored_pmv_mse,corrected_vs_stored_pmv_rmse,corrected_vs_stored_pmv_max_abs,corrected_vs_stored_pmv_pearson_r,corrected_pmv_vs_expected_tsv_pearson_r,corrected_abs_pmv_vs_p_tail_pearson_r,stored_abs_pmv_vs_stored_p_tail_pearson_r,corrected_abs_pmv_vs_no_pmv_p_tail_pearson_r,no_pmv_abs_expected_tsv_vs_p_tail_pearson_r,corrected_pmv_central_but_tail_020_pct,stored_pmv_central_but_tail_020_pct,corrected_pmv_central_but_no_pmv_tail_020_pct
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,16704,0.4844221344189017,0.3847553411068914,-0.024,0.39400000000000013,1.198,-0.29666666666666675,1.8573333333333333,0.4950044300766285,0.4456310727914844,40.94228927203065,12.35632183908046,0.0,0.4912046216475096,0.38586629992052646,-0.02,0.4006666666666667,1.2033333333333334,-0.2966666666666667,1.8573333333333333,0.5014701069604087,41.64870689655172,12.709530651340998,0.0,-0.0067824872286079045,0.02790493295019157,0.0022602728288633462,0.04754232670855883,0.43133333333333346,0.9925468979688709,0.9173180827023611,0.9232165400174974,0.9219969829252674,0.9310221175790208,0.9874908365763644,0.0,0.005986590038314176,0.005986590038314176
ahmedabad_ssp245_baseline_2020s_hot_2029,Ahmedabad,ssp245,baseline_2020s,hot,2029,16704,0.4844221344189017,0.3847553411068914,-0.024,0.39400000000000013,1.198,-0.29666666666666675,1.8573333333333333,0.4950044300766285,0.4456310727914844,40.94228927203065,12.35632183908046,0.0,0.4912046216475096,0.38586629992052646,-0.02,0.4006666666666667,1.2033333333333334,-0.2966666666666667,1.8573333333333333,0.5014701069604087,41.64870689655172,12.709530651340998,0.0,-0.0067824872286079045,0.02790493295019157,0.0022602728288633462,0.04754232670855883,0.43133333333333346,0.9925468979688709,0.9173180827023611,0.9232165400174974,0.9219969829252674,0.9310221175790208,0.9874908365763644,0.0,0.005986590038314176,0.005986590038314176
ahmedabad_ssp245_baseline_2020s_typical_2025,Ahmedabad,ssp245,baseline_2020s,typical,2025,16704,0.39442241379310344,0.3077195063479428,0.008766666666666726,0.33,1.0213333333333334,-0.2546666666666667,1.7,0.40045474137931036,0.35370896923394773,29.166666666666668,5.597461685823755,0.0,0.40103017241379313,0.30898108910662003,0.0126666666666666,0.3353333333333333,1.0278999999999991,-0.2546666666666667,1.7,0.4068769955300127,29.831178160919542,5.812978927203065,0.0,-0.006607758620689637,0.026625478927203065,0.00219774175180928,0.04688007841086958,0.43599999999999994,0.9886805909744926,0.9014496984235896,0.9045973563243037,0.9030957032359853,0.9127033116494666,0.9826357290972303,0.0,0.0,0.005986590038314176
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,16704,0.5166739703065133,0.384518078782629,0.032,0.4193333333333334,1.243899999999999,-0.32599999999999996,1.8306666666666664,0.5216450750319285,0.47477962648548,42.60057471264368,13.942768199233715,0.0,0.5236878591954023,0.3852459176538663,0.0366666666666666,0.4253333333333333,1.251899999999999,-0.3259999999999999,1.8306666666666664,0.5285432231800766,43.265086206896555,14.313936781609197,0.0,-0.007013888888888875,0.028611111111111108,0.0023777476053639846,0.04876215341188271,0.4246666666666665,0.9921421722816046,0.9337624134121395,0.9351459823515954,0.9337728859174084,0.9419371572870938,0.9879771798741585,0.011973180076628351,0.011973180076628351,0.023946360153256702
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,16704,0.5166739703065133,0.384518078782629,0.032,0.4193333333333334,1.243899999999999,-0.32599999999999996,1.8306666666666664,0.5216450750319285,0.47477962648548,42.60057471264368,13.942768199233715,0.0,0.5236878591954023,0.3852459176538663,0.0366666666666666,0.4253333333333333,1.251899999999999,-0.3259999999999999,1.8306666666666664,0.5285432231800766,43.265086206896555,14.313936781609197,0.0,-0.007013888888888875,0.028611111111111108,0.0023777476053639846,0.04876215341188271,0.4246666666666665,0.9921421722816046,0.9337624134121395,0.9351459823515954,0.9337728859174084,0.9419371572870938,0.9879771798741585,0.011973180076628351,0.011973180076628351,0.023946360153256702
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,16704,0.4232707535121328,0.37384832507026167,0.017333333333333333,0.332,1.1852333333333323,-0.3626666666666667,2.4006666666666665,0.4298009259259259,0.3824966334597726,29.867097701149426,9.692289272030653,0.203544061302682,0.4294307551085568,0.37459264245760326,0.020100000000000052,0.33766666666666667,1.192,-0.3626666666666667,2.4006666666666665,0.43584047733077896,30.34602490421456,9.961685823754788,0.20953065134099616,-0.006160001596423992,0.026443047573435505,0.0021486309865900383,0.04635332767547588,0.4273333333333331,0.9924660139156589,0.9326219761819552,0.9355177557109953,0.9344785621637622,0.9431899949583561,0.9868813655978256,0.0,0.0,0.0
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,16704,0.49238717273307786,0.4355058987576433,0.002666666666666664,0.3606666666666667,1.3872333333333324,-0.4633333333333333,2.150666666666667,0.5017157167943805,0.45059600290848073,35.668103448275865,14.930555555555555,0.07782567049808428,0.49875937899106004,0.4361172477404568,0.0046666666666666,0.3666666666666666,1.3924666666666647,-0.4633333333333333,2.150666666666667,0.5078942768199234,36.17696360153257,15.247844827586206,0.07782567049808428,-0.006372206257982104,0.027234833971902937,0.002203310504469987,0.046939434428527015,0.4173333333333332,0.9943076050591713,0.9458573554122399,0.9416210418850681,0.9402250494645515,0.9472455194332198,0.9881137832999075,0.017959770114942528,0.017959770114942528,0.023946360153256702
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,16704,0.49238717273307786,0.4355058987576433,0.002666666666666664,0.3606666666666667,1.3872333333333324,-0.4633333333333333,2.150666666666667,0.5017157167943805,0.45059600290848073,35.668103448275865,14.930555555555555,0.07782567049808428,0.49875937899106004,0.4361172477404568,0.0046666666666666,0.3666666666666666,1.3924666666666647,-0.4633333333333333,2.150666666666667,0.5078942768199234,36.17696360153257,15.247844827586206,0.07782567049808428,-0.006372206257982104,0.027234833971902937,0.002203310504469987,0.046939434428527015,0.4173333333333332,0.9943076050591713,0.9458573554122399,0.9416210418850681,0.9402250494645515,0.9472455194332198,0.9881137832999075,0.017959770114942528,0.017959770114942528,0.023946360153256702
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,16704,0.3784952107279693,0.3131874790085233,-0.015333333333333336,0.31666666666666665,1.0032333333333325,-0.376,1.754,0.388492816091954,0.339884120527549,27.35272988505747,5.0826149425287355,0.0,0.38491295498084294,0.31471667174229484,-0.012,0.322,1.0126666666666668,-0.376,1.754,0.3946620769476373,28.00526819923372,5.274185823754789,0.0,-0.0064177442528735446,0.026289950510855684,0.002145258594082588,0.04631693636330654,0.4479999999999996,0.9893383763147342,0.8663512463975385,0.883604803509842,0.8822506943143572,0.8966410245187666,0.980945843654586,0.0,0.005986590038314176,0.023946360153256702
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,16704,0.4135037116858238,0.333659937216368,0.001433333333333394,0.3346666666666666,1.0959999999999999,-0.402,1.648666666666667,0.42135284961685826,0.3761129591305379,31.42361111111111,7.962164750957855,0.0,0.4201301484674329,0.33486680365696414,0.004766666666666666,0.3399999999999999,1.102666666666667,-0.402,1.648666666666667,0.42781517401021707,32.076149425287355,8.25550766283525,0.0,-0.006626436781609179,0.02667808109833972,0.0022210132503192844,0.047127627251107015,0.43666666666666676,0.9902639613816555,0.913586833079575,0.917512820557168,0.9163001945403998,0.925203579927498,0.9838567529756994,0.0,0.0,0.005986590038314176
