weather,city,scenario,time_slice,severity,weather_year,analysis_state_sha256,zone,zone_label,floor,area_m2,high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,core_bottom,Core bottom,bottom,983.54,7.327586206896551,0.10203693551318033,0.07358003721636688,0.028456898296813454,0.24264749248325784
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,core_mid,Core middle,middle,983.54,18.025622605363985,0.11974782839453865,0.09317909209647571,0.02656873629806294,0.296618313901126
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,core_top,Core top,top,983.54,13.403975095785443,0.10655026610484512,0.07849908736729558,0.028051178737549545,0.24900374317602278
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_top_zn_3,Top P3,top,207.34,18.49257662835249,0.1234434123799819,0.09656774123910487,0.026875671140877022,0.31252780918517514
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_top_zn_2,Top P2,top,131.26,15.630986590038315,0.11475118124989181,0.08773175783813762,0.027019423411754197,0.2927013740264867
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_top_zn_1,Top P1,top,207.34,37.535919540229884,0.18972652458687383,0.1678181544873017,0.021908370099572146,0.5499358903465964
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_top_zn_4,Top P4,top,131.25,12.24257662835249,0.10645983472021939,0.07876657835726172,0.027693256362957653,0.2605197548213035
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_bot_zn_3,Bottom P3,bottom,207.34,14.032567049808428,0.11534613334886365,0.0881539139812665,0.027192219367597147,0.2800916419446564
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_bot_zn_2,Bottom P2,bottom,131.26,12.577825670498086,0.11253211999315556,0.08486223274405236,0.0276698872491032,0.2821351422615571
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,9436ee906dedc67f3c2b0e60fbc76f5c6f16b1a1019219ff5a71bc232e1f45b8,perimeter_bot_zn_1,Bottom P1,bottom,207.34,52.74185823754789,0.2324766406639554,0.21384363226837638,0.01863300839557903,0.6972082140491876
