zone,zone_label,floor,area_m2,area_share_pct,mean_high_tail_pct,p95_case_high_tail_pct,max_case_high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv
core_bottom,Core bottom,bottom,983.54,19.74111786182381,6.973712217965091,22.671815134099596,33.62068965517241,0.10093619505220358,0.0732755499270173,0.027660645125186276,0.24036807761962897
core_mid,Core middle,middle,983.54,19.74111786182381,12.57545597860792,28.72365900383142,43.63625478927203,0.10722683957217059,0.08012228082947252,0.027104558742698088,0.2511576267615081
core_top,Core top,top,983.54,19.74111786182381,10.981900542784164,26.969588122605362,37.79334291187739,0.10081224527665002,0.07227290790265976,0.028539337373990257,0.21270634694946045
perimeter_bot_zn_1,Bottom P1,bottom,207.34,4.161623703632338,30.236769636015325,56.896252394636,67.10967432950191,0.16309034393647928,0.14016964365680748,0.022920700279671816,0.4477387345184426
perimeter_bot_zn_2,Bottom P2,bottom,131.26,2.634584389595739,10.15550167624521,25.526819923371647,33.004070881226056,0.10176684725610674,0.07317836584279529,0.028588481413311457,0.21550513671781357
perimeter_bot_zn_3,Bottom P3,bottom,207.34,4.161623703632338,11.544016403256705,26.772030651340994,40.75670498084291,0.10570094935228477,0.07666106174507938,0.0290398876072054,0.211506635189229
perimeter_bot_zn_4,Bottom P4,bottom,131.25,2.6343836746490994,8.106300220838655,22.97653256704981,30.495689655172413,0.0963922248276454,0.06745494866401834,0.02893727616362705,0.19891242288787478
perimeter_mid_zn_1,Middle P1,middle,207.34,4.161623703632338,27.616430861536823,50.78424329501916,62.60775862068966,0.16023893119607063,0.13737205034351263,0.02286688085255801,0.44730711623003117
perimeter_mid_zn_2,Middle P2,middle,131.26,2.634584389595739,12.276417491485738,27.598479406130256,37.40421455938697,0.10657760809432079,0.07891619663947416,0.027661411454846647,0.2418560429382729
perimeter_mid_zn_3,Middle P3,middle,207.34,4.161623703632338,16.714600960515114,31.782806513409962,47.47365900383142,0.11968940988140034,0.09275023291748077,0.02693917696391955,0.2812187147996363
perimeter_mid_zn_4,Middle P4,middle,131.25,2.6343836746490994,10.657086459663686,24.666846264367802,32.8544061302682,0.10297188004032126,0.0750667742014292,0.027905105838892066,0.22937664918780745
perimeter_top_zn_1,Top P1,top,207.34,4.161623703632338,23.273409229991486,45.65642959770113,55.85488505747126,0.14602022993801697,0.12153464629965385,0.024485583638363118,0.3886279411502754
perimeter_top_zn_2,Top P2,top,131.26,2.634584389595739,12.504365221902937,27.173132183908045,35.84171455938697,0.10720467418578208,0.07890387200865397,0.02830080217712811,0.2348973742636923
perimeter_top_zn_3,Top P3,top,207.34,4.161623703632338,14.718197903363135,30.14248084291188,42.367097701149426,0.11374278316824214,0.08524057056453066,0.028502212603711465,0.24480984493394972
perimeter_top_zn_4,Top P4,top,131.25,2.6343836746490994,10.100167291932738,22.32998084291188,29.48395593869732,0.10128859069450132,0.07247390880033848,0.028814681894162857,0.21261604165853923
