weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,core_bottom,Core bottom,bottom,core,Core,16704,0.09413990104934601,0.0908952497594408,0.13164864948104352,0.14159212417246886,0.3472222222222222,0.05491259780142128,0.039227303247924714
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,16704,0.15183174155819087,0.1405274867217015,0.26640614953778463,0.3021327342818315,14.28999042145594,0.12555120614801407,0.026280535410176775
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,16704,0.09669236563189229,0.09072193629155659,0.1405274867217015,0.15082574213840938,1.1793582375478928,0.05933164376001799,0.037360721871874294
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,16704,0.096329076263833,0.0868769455800173,0.14159212417246886,0.15082574213840938,1.0057471264367817,0.05922724428629817,0.037101831977534805
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,16704,0.09208167904316,0.08636971229531028,0.13286933270417994,0.14159212417246886,0.6645114942528735,0.05396767810813861,0.038114000935021396
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,core_mid,Core middle,middle,core,Core,16704,0.09775037617152671,0.09072193629155659,0.14626088499608358,0.15539403354972353,1.215277777777778,0.061462790634328364,0.03628758553719836
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,16704,0.1431998226603292,0.1274735570254098,0.25525641207211547,0.2975413170287804,13.715277777777779,0.1158607383395675,0.02733908432076173
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,16704,0.0980528028445953,0.08743434974607764,0.14159212417246886,0.17453662053712077,2.077346743295019,0.062197584095770364,0.03585521874882493
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,16704,0.10572931523566385,0.0908952497594408,0.17453662053712074,0.1897434317750309,3.334530651340996,0.0721796559048613,0.03354965933080254
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Lo,90.0,0.9,1.7182130584192439,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,16704,0.09484346890699634,0.08636971229531029,0.1405274867217015,0.17385079829448197,1.5625,0.058875413379595544,0.0359680555274008
