scenario,watts_person,met,zone,zone_label,floor,position,position_name,cases,rows,mean_p_tail,p95_case_mean_p_tail,mean_high_tail_pct,median_case_high_tail_pct,p95_case_high_tail_pct,mean_warm_tail,mean_cold_tail
COMP-Lo,90.0,0.9,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.09728691450904443,0.11424011905024736,0.6225222169008089,0.020953065134099613,2.994492337164751,0.06068634276337121,0.03660057174567322
COMP-Lo,90.0,0.9,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.12348289692530869,0.16714475926077024,7.687488359408259,5.615421455938698,22.988505747126435,0.0922124294164886,0.03127046750882008
COMP-Lo,90.0,0.9,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.09359578538751501,0.11260680818273036,1.670591209025117,1.0326867816091954,6.851053639846742,0.05617222270867751,0.03742356267883749
COMP-Lo,90.0,0.9,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.09448907390605032,0.11958004171793786,2.1228697717113665,0.8920019157088124,9.859913793103448,0.05586495708260824,0.038624116823442085
COMP-Lo,90.0,0.9,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.09194606176760398,0.11087674983761858,1.261756997658578,0.5507662835249043,5.118534482758621,0.05389748032790021,0.038048581439703764
COMP-Lo,90.0,0.9,core_mid,Core middle,middle,core,Core,144,2405376,0.09517971347833878,0.11516649297602191,1.354050260749255,0.3951149425287357,6.533764367816092,0.06009965382283035,0.035080059655508436
COMP-Lo,90.0,0.9,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.12394661652478876,0.16182850171034133,8.71659981641124,7.516163793103448,23.35847701149423,0.09267163348675246,0.03127498303803631
COMP-Lo,90.0,0.9,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.09703328733246502,0.11685068181016366,2.393430382609621,1.9875478927203067,8.736530172413785,0.060824113638974255,0.03620917369349076
COMP-Lo,90.0,0.9,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.10223162947506265,0.13190409180193813,4.082521817794806,2.8975095785440614,15.289750957854405,0.06716425744269668,0.03506737203236596
COMP-Lo,90.0,0.9,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.09586985283337084,0.11541638794436736,2.1089010616219666,1.4128352490421456,6.752873563218391,0.05900158649701549,0.036868266336355336
COMP-Lo,90.0,0.9,core_top,Core top,top,core,Core,144,2405376,0.09226480168820134,0.11468294280675206,1.2668289697743722,0.4789272030651341,6.032088122605363,0.05548098099979868,0.036783820688402635
COMP-Lo,90.0,0.9,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.11740743180832437,0.15212817797143743,7.114563378033206,6.145234674329502,19.145114942528735,0.08412109432466988,0.033286337483654505
COMP-Lo,90.0,0.9,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.09751552852816457,0.11626491666788925,2.7135466554916987,2.1581657088122608,8.662595785440613,0.060371765223168755,0.037143763304995796
COMP-Lo,90.0,0.9,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.1000470505957931,0.13069548071589862,3.797493614303959,2.7717911877394634,13.521312260536398,0.06285503158664313,0.03719201900914996
COMP-Lo,90.0,0.9,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.09533580756531028,0.11711009844697913,2.1618241805023413,1.5146072796934866,6.2880148467432955,0.05705931235112485,0.03827649521418541
S-real,93.2,0.932,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.09755801176169004,0.11643032108417756,0.6606035813111962,0.047892720306513405,3.381525383141759,0.06178076928642251,0.035777242475267514
S-real,93.2,0.932,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.12407700347396605,0.16312070167317874,7.865672560131971,4.897030651340996,22.425167624521073,0.09400563578845605,0.030071367685509984
S-real,93.2,0.932,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.09273549727257215,0.11395378228543436,1.713952413260962,1.1015325670498084,6.734913793103449,0.05610822486328242,0.036627272409289716
S-real,93.2,0.932,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.09328122376701814,0.12116791803361479,2.0916896152618136,1.0356800766283525,9.190912356321833,0.055722863637645705,0.03755836012937244
S-real,93.2,0.932,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.09091356463619889,0.11159199705087389,1.2963046110046827,0.54477969348659,5.2861590038314175,0.053914324095229144,0.03699924054096975
S-real,93.2,0.932,core_mid,Core middle,middle,core,Core,144,2405376,0.0941967149891443,0.11620125594690696,1.284705592805449,0.33824233716475094,6.013230363984671,0.06033606964023644,0.03386064534890785
S-real,93.2,0.932,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.1242324814442306,0.15894660037568076,9.203134977650064,8.234554597701148,21.585249042145595,0.09420323376150513,0.030029247682725444
S-real,93.2,0.932,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.09615655404397913,0.11534354581182069,2.2483387212643677,1.9276819923371646,7.82567049808429,0.06081833551519364,0.03533821852878549
S-real,93.2,0.932,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.1011530778430317,0.13323242917382794,3.734260257024266,2.735871647509579,13.826329022988503,0.06682227789764969,0.034330799945382
S-real,93.2,0.932,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.0946236309918876,0.11627511092801507,1.9405282167943807,1.1254789272030652,6.010835727969349,0.058869756367318615,0.03575387462456899
S-real,93.2,0.932,core_top,Core top,top,core,Core,144,2405376,0.0914709850148135,0.11271514243109344,1.2115361590038314,0.47294061302681994,6.432890325670492,0.05569741982274411,0.035773565192069395
S-real,93.2,0.932,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.11739909280508891,0.15088809153354157,7.501737774052788,6.591235632183908,18.40876436781609,0.08531581628543433,0.03208327651965458
S-real,93.2,0.932,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.09645916503439773,0.1172465544511868,2.579430409216688,1.9576149425287357,8.321360153256704,0.06020202919819383,0.03625713583620391
S-real,93.2,0.932,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.09898363167313122,0.12787416347151412,3.58654946253725,2.562260536398467,12.18360871647509,0.062421937704777025,0.036561693968354195
S-real,93.2,0.932,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.09409637264382666,0.11855187118408576,2.030077626117497,1.2751436781609193,6.6945043103448265,0.05688165308355907,0.03721471956026759
COMP-Med,100.0,1.0,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.12623255594874952,0.1466642046731538,4.125176271817795,3.0741139846743293,16.703484195402286,0.07032584526072674,0.05590671068802279
COMP-Med,100.0,1.0,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.1548352417464231,0.2001827846751334,17.691454475308642,13.625478927203066,37.446120689655174,0.11181567350140637,0.04301956824501674
COMP-Med,100.0,1.0,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.12146345628738933,0.14852298408631556,5.666224324180502,4.0888409961685825,17.043821839080458,0.06543508705042471,0.05602836923696464
COMP-Med,100.0,1.0,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.12204449661297116,0.15989538571955386,6.896676444763729,5.0736350574712645,23.408764367816083,0.06549863123999707,0.0565458653729741
COMP-Med,100.0,1.0,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.11932426497321748,0.14681996726271415,4.4740198621753935,2.798730842911877,14.445641762452107,0.06204098956173706,0.05728327541148042
COMP-Med,100.0,1.0,core_mid,Core middle,middle,core,Core,144,2405376,0.12365269262100795,0.15444095884222256,6.20322976532567,4.283405172413794,22.192289272030653,0.07049012865547029,0.05316256396553765
COMP-Med,100.0,1.0,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.1565575210552939,0.19892530839297995,19.822638955406557,18.06154214559387,35.534602490421456,0.11201598836021476,0.044541532695079156
COMP-Med,100.0,1.0,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.1245418132530746,0.15058589871487493,6.165813577586207,5.20234674329502,19.385775862068964,0.0703344715149297,0.054207341738144885
COMP-Med,100.0,1.0,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.13071134479750926,0.16543928452166448,9.787866844934014,8.25550766283525,25.43163314176245,0.07885822389777095,0.0518531208997383
COMP-Med,100.0,1.0,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.12284321849987791,0.1513212734292293,5.4362394902085995,4.112787356321839,14.83327346743295,0.06774944282827446,0.05509377567160344
COMP-Med,100.0,1.0,core_top,Core top,top,core,Core,144,2405376,0.12130624091529414,0.15010942023177462,5.879371873669647,3.90625,20.001197318007662,0.06493710901974274,0.0563691318955514
COMP-Med,100.0,1.0,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.14890228947744774,0.18661936003712767,16.57649365421456,15.415469348659004,32.10608237547893,0.10115835583266373,0.04774393364478399
