zone,position,floor,orientation,association,spearman_rho_mean,spearman_rho_median,spearman_rho_q25,spearman_rho_q75,n_units
core_bottom,core,bottom,core,horizontal_GHI__zone_operative_temperature,0.3857966962335764,0.4010208592822996,0.331811267506839,0.43174580741859836,144
core_bottom,core,bottom,core,horizontal_GHI__zone_p_tail,0.18432663802678764,0.2366278379619335,0.06346873045193871,0.3081394851107471,144
core_mid,core,middle,core,horizontal_GHI__zone_operative_temperature,0.3407580323418934,0.34837632297851817,0.29684562171280504,0.38676624863231224,144
core_mid,core,middle,core,horizontal_GHI__zone_p_tail,0.15835895439099432,0.19815915162637324,0.0849127819430863,0.25588306926624244,144
core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.40590692498874015,0.4187030904689584,0.3661566861924176,0.45151898423411085,144
core_top,core,top,core,horizontal_GHI__zone_p_tail,0.21312064028389172,0.24638136960252144,0.13007387516639513,0.3121873457259409,144
perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.5315150514237884,0.5251032400856647,0.5112741028934473,0.5572439054619556,144
perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.46221947114268425,0.48599359154959376,0.4134843737413083,0.525519868863478,144
perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.505416389162911,0.5041003789723697,0.4857902228731337,0.5334961172265991,144
perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.4215354045273312,0.45808011585728153,0.32441225295665926,0.49620086154741566,144
perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.39995137529049024,0.3969764105640523,0.3635273096018634,0.43425157414637067,144
perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.26871911181950786,0.30641848577655495,0.152486278415889,0.37077315844383374,144
perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.3884975497266775,0.40699674646029094,0.32439201609468027,0.4382158037165696,144
perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.2655651126968728,0.2882171006306202,0.14200802223689762,0.3794794362922327,144
perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.6504454890224979,0.6481328801611982,0.6202391305512278,0.6711129093869584,144
perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.5610404994634555,0.584278745527265,0.5056214746340637,0.6252789378114294,144
perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5551379007360753,0.5560244904018362,0.5348699221244867,0.5828504703004012,144
perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.4729214387681256,0.5018055719940049,0.3472726964927073,0.5694040114659997,144
perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.44418706791901413,0.44317810289859805,0.40645797195627226,0.4785067806553644,144
perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.3537838820433082,0.36593833930624964,0.22487153419827108,0.47862455508236634,144
perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.4464371204345683,0.46240366930747323,0.38623736744545367,0.4976946369429347,144
perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_p_tail,0.321190284705387,0.3507825462056309,0.16825532738111826,0.44345279823294037,144
perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.6500810135660358,0.6501235694508696,0.6206621204381938,0.6774177926953958,144
perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.5589550146477883,0.5737430534085376,0.517533838513591,0.6135941504951089,144
perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.5779818094401276,0.5778323825198147,0.5554325183596459,0.6030168511647034,144
perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.49060068874053275,0.5325228793960144,0.3687749766779424,0.576118842869011,144
perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.4659367437552966,0.46088106055917355,0.4300616232936401,0.5052438390748403,144
perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.36942606218699375,0.4029948192926047,0.24315444935255978,0.4753234174016732,144
perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.4670831095614074,0.4770601808389271,0.4097226795831215,0.517148430708558,144
perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.33864978807585555,0.3628522395839451,0.19937430103180456,0.4519218059584033,144
