city,scenario,time_slice,severity,expected_year,manifest_year,exact_match
Ahmedabad,ssp245,baseline_2020s,typical,2025,2025,True
Ahmedabad,ssp245,baseline_2020s,hot,2029,2029,True
Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,2029,True
Ahmedabad,ssp245,near_2030s,typical,2032,2032,True
Ahmedabad,ssp245,near_2030s,hot,2034,2034,True
Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,2034,True
Ahmedabad,ssp245,mid_2050s,typical,2058,2058,True
Ahmedabad,ssp245,mid_2050s,hot,2059,2059,True
Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,2059,True
Ahmedabad,ssp245,late_2080s,typical,2086,2086,True
Ahmedabad,ssp245,late_2080s,hot,2081,2081,True
Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,2081,True
Ahmedabad,ssp585,baseline_2020s,typical,2025,2025,True
Ahmedabad,ssp585,baseline_2020s,hot,2027,2027,True
Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,2027,True
Ahmedabad,ssp585,near_2030s,typical,2031,2031,True
Ahmedabad,ssp585,near_2030s,hot,2037,2037,True
Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,2037,True
Ahmedabad,ssp585,mid_2050s,typical,2055,2055,True
Ahmedabad,ssp585,mid_2050s,hot,2050,2050,True
Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,2051,True
Ahmedabad,ssp585,late_2080s,typical,2087,2087,True
Ahmedabad,ssp585,late_2080s,hot,2088,2088,True
Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,2088,True
Beijing,ssp245,baseline_2020s,typical,2026,2026,True
Beijing,ssp245,baseline_2020s,hot,2025,2025,True
Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,2025,True
Beijing,ssp245,near_2030s,typical,2035,2035,True
Beijing,ssp245,near_2030s,hot,2034,2034,True
Beijing,ssp245,near_2030s,heatwave_extreme,2039,2039,True
Beijing,ssp245,mid_2050s,typical,2056,2056,True
Beijing,ssp245,mid_2050s,hot,2050,2050,True
Beijing,ssp245,mid_2050s,heatwave_extreme,2050,2050,True
Beijing,ssp245,late_2080s,typical,2083,2083,True
Beijing,ssp245,late_2080s,hot,2084,2084,True
Beijing,ssp245,late_2080s,heatwave_extreme,2084,2084,True
Beijing,ssp585,baseline_2020s,typical,2026,2026,True
Beijing,ssp585,baseline_2020s,hot,2029,2029,True
Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,2029,True
Beijing,ssp585,near_2030s,typical,2032,2032,True
Beijing,ssp585,near_2030s,hot,2037,2037,True
Beijing,ssp585,near_2030s,heatwave_extreme,2030,2030,True
Beijing,ssp585,mid_2050s,typical,2053,2053,True
Beijing,ssp585,mid_2050s,hot,2052,2052,True
Beijing,ssp585,mid_2050s,heatwave_extreme,2052,2052,True
Beijing,ssp585,late_2080s,typical,2084,2084,True
Beijing,ssp585,late_2080s,hot,2089,2089,True
Beijing,ssp585,late_2080s,heatwave_extreme,2089,2089,True
Guangzhou,ssp245,baseline_2020s,typical,2025,2025,True
Guangzhou,ssp245,baseline_2020s,hot,2027,2027,True
Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,2028,True
Guangzhou,ssp245,near_2030s,typical,2031,2031,True
Guangzhou,ssp245,near_2030s,hot,2038,2038,True
Guangzhou,ssp245,near_2030s,heatwave_extreme,2034,2034,True
Guangzhou,ssp245,mid_2050s,typical,2054,2054,True
Guangzhou,ssp245,mid_2050s,hot,2051,2051,True
Guangzhou,ssp245,mid_2050s,heatwave_extreme,2055,2055,True
Guangzhou,ssp245,late_2080s,typical,2084,2084,True
Guangzhou,ssp245,late_2080s,hot,2083,2083,True
Guangzhou,ssp245,late_2080s,heatwave_extreme,2088,2088,True
Guangzhou,ssp585,baseline_2020s,typical,2025,2025,True
Guangzhou,ssp585,baseline_2020s,hot,2028,2028,True
Guangzhou,ssp585,baseline_2020s,heatwave_extreme,2026,2026,True
Guangzhou,ssp585,near_2030s,typical,2039,2039,True
Guangzhou,ssp585,near_2030s,hot,2033,2033,True
Guangzhou,ssp585,near_2030s,heatwave_extreme,2033,2033,True
Guangzhou,ssp585,mid_2050s,typical,2050,2050,True
Guangzhou,ssp585,mid_2050s,hot,2057,2057,True
Guangzhou,ssp585,mid_2050s,heatwave_extreme,2059,2059,True
Guangzhou,ssp585,late_2080s,typical,2087,2087,True
Guangzhou,ssp585,late_2080s,hot,2086,2086,True
Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,2086,True
Houston,ssp245,baseline_2020s,typical,2027,2027,True
Houston,ssp245,baseline_2020s,hot,2026,2026,True
Houston,ssp245,baseline_2020s,heatwave_extreme,2026,2026,True
Houston,ssp245,near_2030s,typical,2033,2033,True
Houston,ssp245,near_2030s,hot,2038,2038,True
Houston,ssp245,near_2030s,heatwave_extreme,2039,2039,True
Houston,ssp245,mid_2050s,typical,2052,2052,True
Houston,ssp245,mid_2050s,hot,2056,2056,True
Houston,ssp245,mid_2050s,heatwave_extreme,2058,2058,True
Houston,ssp245,late_2080s,typical,2086,2086,True
Houston,ssp245,late_2080s,hot,2085,2085,True
Houston,ssp245,late_2080s,heatwave_extreme,2081,2081,True
Houston,ssp585,baseline_2020s,typical,2025,2025,True
Houston,ssp585,baseline_2020s,hot,2026,2026,True
Houston,ssp585,baseline_2020s,heatwave_extreme,2025,2025,True
Houston,ssp585,near_2030s,typical,2038,2038,True
Houston,ssp585,near_2030s,hot,2035,2035,True
Houston,ssp585,near_2030s,heatwave_extreme,2037,2037,True
Houston,ssp585,mid_2050s,typical,2055,2055,True
Houston,ssp585,mid_2050s,hot,2058,2058,True
Houston,ssp585,mid_2050s,heatwave_extreme,2059,2059,True
Houston,ssp585,late_2080s,typical,2088,2088,True
Houston,ssp585,late_2080s,hot,2080,2080,True
Houston,ssp585,late_2080s,heatwave_extreme,2086,2086,True
Kolkata,ssp245,baseline_2020s,typical,2026,2026,True
Kolkata,ssp245,baseline_2020s,hot,2028,2028,True
Kolkata,ssp245,baseline_2020s,heatwave_extreme,2027,2027,True
Kolkata,ssp245,near_2030s,typical,2036,2036,True
Kolkata,ssp245,near_2030s,hot,2031,2031,True
Kolkata,ssp245,near_2030s,heatwave_extreme,2039,2039,True
Kolkata,ssp245,mid_2050s,typical,2058,2058,True
Kolkata,ssp245,mid_2050s,hot,2053,2053,True
Kolkata,ssp245,mid_2050s,heatwave_extreme,2053,2053,True
Kolkata,ssp245,late_2080s,typical,2084,2084,True
Kolkata,ssp245,late_2080s,hot,2087,2087,True
Kolkata,ssp245,late_2080s,heatwave_extreme,2086,2086,True
Kolkata,ssp585,baseline_2020s,typical,2029,2029,True
Kolkata,ssp585,baseline_2020s,hot,2026,2026,True
Kolkata,ssp585,baseline_2020s,heatwave_extreme,2027,2027,True
Kolkata,ssp585,near_2030s,typical,2038,2038,True
Kolkata,ssp585,near_2030s,hot,2030,2030,True
Kolkata,ssp585,near_2030s,heatwave_extreme,2032,2032,True
Kolkata,ssp585,mid_2050s,typical,2057,2057,True
Kolkata,ssp585,mid_2050s,hot,2059,2059,True
Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,2059,True
Kolkata,ssp585,late_2080s,typical,2088,2088,True
Kolkata,ssp585,late_2080s,hot,2080,2080,True
Kolkata,ssp585,late_2080s,heatwave_extreme,2080,2080,True
Phoenix,ssp245,baseline_2020s,typical,2026,2026,True
Phoenix,ssp245,baseline_2020s,hot,2028,2028,True
Phoenix,ssp245,baseline_2020s,heatwave_extreme,2025,2025,True
Phoenix,ssp245,near_2030s,typical,2034,2034,True
Phoenix,ssp245,near_2030s,hot,2039,2039,True
