workbook_path,scenario_from_path,city,city_slug,lat,scenario_id,gcm,rcm,base_path,ssp,baseline_start,baseline_end,delta_mode,n_hours,rsvar_source,delta::GHI::multiplicative,delta::pressure::additive,delta::temp::additive,delta::wind_speed::multiplicative
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Ahmedabad,Ahmedabad,23.0225,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Ahmedabad_with_solar.csv,"mean=0.965366x, std=0.089742x, min=0.564934x, max=1.415773x","mean=+0.0612, std=2.3573, min=-9.4562, max=+9.1746","mean=+0.7006, std=2.3773, min=-11.9055, max=+11.1650","mean=0.952846x, std=0.342316x, min=0.103011x, max=2.957732x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Beijing,Beijing,39.9042,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Beijing_with_solar.csv,"mean=1.019139x, std=0.096071x, min=0.566028x, max=1.352482x","mean=-0.2093, std=6.1020, min=-27.2529, max=+24.1848","mean=+1.6458, std=3.5793, min=-13.9594, max=+16.1541","mean=0.983422x, std=0.419332x, min=0.134356x, max=3.935528x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Guangzhou,Guangzhou,23.1291,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Guangzhou_with_solar.csv,"mean=1.091282x, std=0.162968x, min=0.608841x, max=1.616663x","mean=-0.1274, std=4.1214, min=-18.6123, max=+18.8687","mean=+1.5226, std=3.1865, min=-15.6677, max=+12.9311","mean=1.024903x, std=0.435908x, min=0.182810x, max=3.438187x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Houston/forecast_Houston_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Houston,Houston,29.7604,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Houston_with_solar.csv,"mean=1.019143x, std=0.095020x, min=0.597309x, max=1.387747x","mean=-0.3117, std=5.4188, min=-30.2112, max=+24.3852","mean=+1.5025, std=3.7538, min=-15.3437, max=+14.4963","mean=1.027055x, std=0.378787x, min=0.095401x, max=2.954228x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Kolkata,Kolkata,22.5726,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Kolkata_with_solar.csv,"mean=0.959915x, std=0.061958x, min=0.647854x, max=1.091100x","mean=+0.1417, std=2.7271, min=-14.0907, max=+11.8009","mean=+0.1705, std=2.3899, min=-9.4107, max=+11.5608","mean=0.921040x, std=0.376240x, min=0.095841x, max=3.482242x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Phoenix/forecast_Phoenix_CMIP6_MPI_0515_ssp245.xlsx,ssp245,Phoenix,Phoenix,33.4484,CMIP6_MPI_0515_ssp245,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp245,1991,2010,daily,666169,restricted://observations/Phoenix_with_solar.csv,"mean=0.994189x, std=0.081228x, min=0.686789x, max=1.302124x","mean=-0.1124, std=3.8336, min=-29.2301, max=+18.8857","mean=+1.6121, std=3.2617, min=-13.6015, max=+12.6829","mean=0.987328x, std=0.416371x, min=0.166168x, max=4.044875x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp585/Ahmedabad/forecast_Ahmedabad_CMIP6_MPI_0515_ssp585.xlsx,ssp585,Ahmedabad,Ahmedabad,23.0225,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp585,1991,2010,daily,666169,restricted://observations/Ahmedabad_with_solar.csv,"mean=0.950646x, std=0.103902x, min=0.478440x, max=1.566193x","mean=-0.0291, std=2.3637, min=-11.6224, max=+8.4776","mean=+1.1581, std=2.5654, min=-9.5954, max=+11.2495","mean=0.909951x, std=0.338345x, min=0.099266x, max=2.671128x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp585/Beijing/forecast_Beijing_CMIP6_MPI_0515_ssp585.xlsx,ssp585,Beijing,Beijing,39.9042,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp585,1991,2010,daily,666169,restricted://observations/Beijing_with_solar.csv,"mean=1.010710x, std=0.094335x, min=0.643363x, max=1.326238x","mean=-0.2129, std=6.0576, min=-30.4353, max=+24.1031","mean=+2.5542, std=3.8058, min=-14.5905, max=+16.6874","mean=0.984924x, std=0.425194x, min=0.105650x, max=3.661852x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp585/Guangzhou/forecast_Guangzhou_CMIP6_MPI_0515_ssp585.xlsx,ssp585,Guangzhou,Guangzhou,23.1291,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp585,1991,2010,daily,666169,restricted://observations/Guangzhou_with_solar.csv,"mean=1.090784x, std=0.173277x, min=0.637784x, max=1.683432x","mean=-0.1514, std=4.1250, min=-19.1103, max=+20.6532","mean=+2.3564, std=3.4772, min=-17.9280, max=+14.7747","mean=1.055308x, std=0.439288x, min=0.120563x, max=3.589864x"
checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp585/Houston/forecast_Houston_CMIP6_MPI_0515_ssp585.xlsx,ssp585,Houston,Houston,29.7604,CMIP6_MPI_0515_ssp585,MPI-ESM1-2-LR,N/A,restricted://raw_cmip6,ssp585,1991,2010,daily,666169,restricted://observations/Houston_with_solar.csv,"mean=1.018280x, std=0.096876x, min=0.613612x, max=1.333814x","mean=-0.3211, std=5.3899, min=-31.0218, max=+21.9634","mean=+2.2931, std=3.9011, min=-16.1286, max=+16.9557","mean=1.016433x, std=0.370213x, min=0.100747x, max=3.282386x"
