city,scenario_raw,time_slice,weather_year,role_count,severities,case_ids,body_hash_count
Ahmedabad,ssp245,baseline_2020s,2025,1,typical,ahmedabad_ssp245_baseline_2020s_typical_2025,1
Ahmedabad,ssp245,baseline_2020s,2029,2,heatwave_extreme;hot,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029;ahmedabad_ssp245_baseline_2020s_hot_2029,1
Ahmedabad,ssp245,late_2080s,2081,2,heatwave_extreme;hot,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081;ahmedabad_ssp245_late_2080s_hot_2081,1
Ahmedabad,ssp245,late_2080s,2086,1,typical,ahmedabad_ssp245_late_2080s_typical_2086,1
Ahmedabad,ssp245,mid_2050s,2058,1,typical,ahmedabad_ssp245_mid_2050s_typical_2058,1
Ahmedabad,ssp245,mid_2050s,2059,2,heatwave_extreme;hot,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059;ahmedabad_ssp245_mid_2050s_hot_2059,1
Ahmedabad,ssp245,near_2030s,2032,1,typical,ahmedabad_ssp245_near_2030s_typical_2032,1
Ahmedabad,ssp245,near_2030s,2034,2,heatwave_extreme;hot,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034;ahmedabad_ssp245_near_2030s_hot_2034,1
Ahmedabad,ssp585,baseline_2020s,2025,1,typical,ahmedabad_ssp585_baseline_2020s_typical_2025,1
Ahmedabad,ssp585,baseline_2020s,2027,2,heatwave_extreme;hot,ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027;ahmedabad_ssp585_baseline_2020s_hot_2027,1
Ahmedabad,ssp585,late_2080s,2087,1,typical,ahmedabad_ssp585_late_2080s_typical_2087,1
Ahmedabad,ssp585,late_2080s,2088,2,heatwave_extreme;hot,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088;ahmedabad_ssp585_late_2080s_hot_2088,1
Ahmedabad,ssp585,mid_2050s,2050,1,hot,ahmedabad_ssp585_mid_2050s_hot_2050,1
Ahmedabad,ssp585,mid_2050s,2051,1,heatwave_extreme,ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,1
Ahmedabad,ssp585,mid_2050s,2055,1,typical,ahmedabad_ssp585_mid_2050s_typical_2055,1
Ahmedabad,ssp585,near_2030s,2031,1,typical,ahmedabad_ssp585_near_2030s_typical_2031,1
Ahmedabad,ssp585,near_2030s,2037,2,heatwave_extreme;hot,ahmedabad_ssp585_near_2030s_heatwave_extreme_2037;ahmedabad_ssp585_near_2030s_hot_2037,1
Beijing,ssp245,baseline_2020s,2025,2,heatwave_extreme;hot,beijing_ssp245_baseline_2020s_heatwave_extreme_2025;beijing_ssp245_baseline_2020s_hot_2025,1
Beijing,ssp245,baseline_2020s,2026,1,typical,beijing_ssp245_baseline_2020s_typical_2026,1
Beijing,ssp245,late_2080s,2083,1,typical,beijing_ssp245_late_2080s_typical_2083,1
Beijing,ssp245,late_2080s,2084,2,heatwave_extreme;hot,beijing_ssp245_late_2080s_heatwave_extreme_2084;beijing_ssp245_late_2080s_hot_2084,1
Beijing,ssp245,mid_2050s,2050,2,heatwave_extreme;hot,beijing_ssp245_mid_2050s_heatwave_extreme_2050;beijing_ssp245_mid_2050s_hot_2050,1
Beijing,ssp245,mid_2050s,2056,1,typical,beijing_ssp245_mid_2050s_typical_2056,1
Beijing,ssp245,near_2030s,2034,1,hot,beijing_ssp245_near_2030s_hot_2034,1
Beijing,ssp245,near_2030s,2035,1,typical,beijing_ssp245_near_2030s_typical_2035,1
Beijing,ssp245,near_2030s,2039,1,heatwave_extreme,beijing_ssp245_near_2030s_heatwave_extreme_2039,1
Beijing,ssp585,baseline_2020s,2026,1,typical,beijing_ssp585_baseline_2020s_typical_2026,1
Beijing,ssp585,baseline_2020s,2029,2,heatwave_extreme;hot,beijing_ssp585_baseline_2020s_heatwave_extreme_2029;beijing_ssp585_baseline_2020s_hot_2029,1
Beijing,ssp585,late_2080s,2084,1,typical,beijing_ssp585_late_2080s_typical_2084,1
Beijing,ssp585,late_2080s,2089,2,heatwave_extreme;hot,beijing_ssp585_late_2080s_heatwave_extreme_2089;beijing_ssp585_late_2080s_hot_2089,1
Beijing,ssp585,mid_2050s,2052,2,heatwave_extreme;hot,beijing_ssp585_mid_2050s_heatwave_extreme_2052;beijing_ssp585_mid_2050s_hot_2052,1
Beijing,ssp585,mid_2050s,2053,1,typical,beijing_ssp585_mid_2050s_typical_2053,1
Beijing,ssp585,near_2030s,2030,1,heatwave_extreme,beijing_ssp585_near_2030s_heatwave_extreme_2030,1
Beijing,ssp585,near_2030s,2032,1,typical,beijing_ssp585_near_2030s_typical_2032,1
Beijing,ssp585,near_2030s,2037,1,hot,beijing_ssp585_near_2030s_hot_2037,1
Guangzhou,ssp245,baseline_2020s,2025,1,typical,guangzhou_ssp245_baseline_2020s_typical_2025,1
Guangzhou,ssp245,baseline_2020s,2027,1,hot,guangzhou_ssp245_baseline_2020s_hot_2027,1
Guangzhou,ssp245,baseline_2020s,2028,1,heatwave_extreme,guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,1
Guangzhou,ssp245,late_2080s,2083,1,hot,guangzhou_ssp245_late_2080s_hot_2083,1
Guangzhou,ssp245,late_2080s,2084,1,typical,guangzhou_ssp245_late_2080s_typical_2084,1
Guangzhou,ssp245,late_2080s,2088,1,heatwave_extreme,guangzhou_ssp245_late_2080s_heatwave_extreme_2088,1
Guangzhou,ssp245,mid_2050s,2051,1,hot,guangzhou_ssp245_mid_2050s_hot_2051,1
Guangzhou,ssp245,mid_2050s,2054,1,typical,guangzhou_ssp245_mid_2050s_typical_2054,1
Guangzhou,ssp245,mid_2050s,2055,1,heatwave_extreme,guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,1
Guangzhou,ssp245,near_2030s,2031,1,typical,guangzhou_ssp245_near_2030s_typical_2031,1
Guangzhou,ssp245,near_2030s,2034,1,heatwave_extreme,guangzhou_ssp245_near_2030s_heatwave_extreme_2034,1
Guangzhou,ssp245,near_2030s,2038,1,hot,guangzhou_ssp245_near_2030s_hot_2038,1
Guangzhou,ssp585,baseline_2020s,2025,1,typical,guangzhou_ssp585_baseline_2020s_typical_2025,1
Guangzhou,ssp585,baseline_2020s,2026,1,heatwave_extreme,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,1
Guangzhou,ssp585,baseline_2020s,2028,1,hot,guangzhou_ssp585_baseline_2020s_hot_2028,1
Guangzhou,ssp585,late_2080s,2086,2,heatwave_extreme;hot,guangzhou_ssp585_late_2080s_heatwave_extreme_2086;guangzhou_ssp585_late_2080s_hot_2086,1
Guangzhou,ssp585,late_2080s,2087,1,typical,guangzhou_ssp585_late_2080s_typical_2087,1
Guangzhou,ssp585,mid_2050s,2050,1,typical,guangzhou_ssp585_mid_2050s_typical_2050,1
Guangzhou,ssp585,mid_2050s,2057,1,hot,guangzhou_ssp585_mid_2050s_hot_2057,1
Guangzhou,ssp585,mid_2050s,2059,1,heatwave_extreme,guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,1
Guangzhou,ssp585,near_2030s,2033,2,heatwave_extreme;hot,guangzhou_ssp585_near_2030s_heatwave_extreme_2033;guangzhou_ssp585_near_2030s_hot_2033,1
Guangzhou,ssp585,near_2030s,2039,1,typical,guangzhou_ssp585_near_2030s_typical_2039,1
Houston,ssp245,baseline_2020s,2026,2,heatwave_extreme;hot,houston_ssp245_baseline_2020s_heatwave_extreme_2026;houston_ssp245_baseline_2020s_hot_2026,1
Houston,ssp245,baseline_2020s,2027,1,typical,houston_ssp245_baseline_2020s_typical_2027,1
Houston,ssp245,late_2080s,2081,1,heatwave_extreme,houston_ssp245_late_2080s_heatwave_extreme_2081,1
Houston,ssp245,late_2080s,2085,1,hot,houston_ssp245_late_2080s_hot_2085,1
Houston,ssp245,late_2080s,2086,1,typical,houston_ssp245_late_2080s_typical_2086,1
Houston,ssp245,mid_2050s,2052,1,typical,houston_ssp245_mid_2050s_typical_2052,1
Houston,ssp245,mid_2050s,2056,1,hot,houston_ssp245_mid_2050s_hot_2056,1
Houston,ssp245,mid_2050s,2058,1,heatwave_extreme,houston_ssp245_mid_2050s_heatwave_extreme_2058,1
Houston,ssp245,near_2030s,2033,1,typical,houston_ssp245_near_2030s_typical_2033,1
Houston,ssp245,near_2030s,2038,1,hot,houston_ssp245_near_2030s_hot_2038,1
Houston,ssp245,near_2030s,2039,1,heatwave_extreme,houston_ssp245_near_2030s_heatwave_extreme_2039,1
Houston,ssp585,baseline_2020s,2025,2,heatwave_extreme;typical,houston_ssp585_baseline_2020s_heatwave_extreme_2025;houston_ssp585_baseline_2020s_typical_2025,1
Houston,ssp585,baseline_2020s,2026,1,hot,houston_ssp585_baseline_2020s_hot_2026,1
Houston,ssp585,late_2080s,2080,1,hot,houston_ssp585_late_2080s_hot_2080,1
Houston,ssp585,late_2080s,2086,1,heatwave_extreme,houston_ssp585_late_2080s_heatwave_extreme_2086,1
Houston,ssp585,late_2080s,2088,1,typical,houston_ssp585_late_2080s_typical_2088,1
Houston,ssp585,mid_2050s,2055,1,typical,houston_ssp585_mid_2050s_typical_2055,1
Houston,ssp585,mid_2050s,2058,1,hot,houston_ssp585_mid_2050s_hot_2058,1
Houston,ssp585,mid_2050s,2059,1,heatwave_extreme,houston_ssp585_mid_2050s_heatwave_extreme_2059,1
Houston,ssp585,near_2030s,2035,1,hot,houston_ssp585_near_2030s_hot_2035,1
Houston,ssp585,near_2030s,2037,1,heatwave_extreme,houston_ssp585_near_2030s_heatwave_extreme_2037,1
Houston,ssp585,near_2030s,2038,1,typical,houston_ssp585_near_2030s_typical_2038,1
Kolkata,ssp245,baseline_2020s,2026,1,typical,kolkata_ssp245_baseline_2020s_typical_2026,1
Kolkata,ssp245,baseline_2020s,2027,1,heatwave_extreme,kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,1
Kolkata,ssp245,baseline_2020s,2028,1,hot,kolkata_ssp245_baseline_2020s_hot_2028,1
Kolkata,ssp245,late_2080s,2084,1,typical,kolkata_ssp245_late_2080s_typical_2084,1
Kolkata,ssp245,late_2080s,2086,1,heatwave_extreme,kolkata_ssp245_late_2080s_heatwave_extreme_2086,1
Kolkata,ssp245,late_2080s,2087,1,hot,kolkata_ssp245_late_2080s_hot_2087,1
Kolkata,ssp245,mid_2050s,2053,2,heatwave_extreme;hot,kolkata_ssp245_mid_2050s_heatwave_extreme_2053;kolkata_ssp245_mid_2050s_hot_2053,1
Kolkata,ssp245,mid_2050s,2058,1,typical,kolkata_ssp245_mid_2050s_typical_2058,1
Kolkata,ssp245,near_2030s,2031,1,hot,kolkata_ssp245_near_2030s_hot_2031,1
Kolkata,ssp245,near_2030s,2036,1,typical,kolkata_ssp245_near_2030s_typical_2036,1
Kolkata,ssp245,near_2030s,2039,1,heatwave_extreme,kolkata_ssp245_near_2030s_heatwave_extreme_2039,1
Kolkata,ssp585,baseline_2020s,2026,1,hot,kolkata_ssp585_baseline_2020s_hot_2026,1
Kolkata,ssp585,baseline_2020s,2027,1,heatwave_extreme,kolkata_ssp585_baseline_2020s_heatwave_extreme_2027,1
Kolkata,ssp585,baseline_2020s,2029,1,typical,kolkata_ssp585_baseline_2020s_typical_2029,1
Kolkata,ssp585,late_2080s,2080,2,heatwave_extreme;hot,kolkata_ssp585_late_2080s_heatwave_extreme_2080;kolkata_ssp585_late_2080s_hot_2080,1
Kolkata,ssp585,late_2080s,2088,1,typical,kolkata_ssp585_late_2080s_typical_2088,1
Kolkata,ssp585,mid_2050s,2057,1,typical,kolkata_ssp585_mid_2050s_typical_2057,1
Kolkata,ssp585,mid_2050s,2059,2,heatwave_extreme;hot,kolkata_ssp585_mid_2050s_heatwave_extreme_2059;kolkata_ssp585_mid_2050s_hot_2059,1
Kolkata,ssp585,near_2030s,2030,1,hot,kolkata_ssp585_near_2030s_hot_2030,1
Kolkata,ssp585,near_2030s,2032,1,heatwave_extreme,kolkata_ssp585_near_2030s_heatwave_extreme_2032,1
Kolkata,ssp585,near_2030s,2038,1,typical,kolkata_ssp585_near_2030s_typical_2038,1
Phoenix,ssp245,baseline_2020s,2025,1,heatwave_extreme,phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,1
Phoenix,ssp245,baseline_2020s,2026,1,typical,phoenix_ssp245_baseline_2020s_typical_2026,1
Phoenix,ssp245,baseline_2020s,2028,1,hot,phoenix_ssp245_baseline_2020s_hot_2028,1
Phoenix,ssp245,late_2080s,2081,1,typical,phoenix_ssp245_late_2080s_typical_2081,1
Phoenix,ssp245,late_2080s,2086,2,heatwave_extreme;hot,phoenix_ssp245_late_2080s_heatwave_extreme_2086;phoenix_ssp245_late_2080s_hot_2086,1
Phoenix,ssp245,mid_2050s,2051,1,heatwave_extreme,phoenix_ssp245_mid_2050s_heatwave_extreme_2051,1
Phoenix,ssp245,mid_2050s,2054,1,typical,phoenix_ssp245_mid_2050s_typical_2054,1
Phoenix,ssp245,mid_2050s,2058,1,hot,phoenix_ssp245_mid_2050s_hot_2058,1
Phoenix,ssp245,near_2030s,2034,1,typical,phoenix_ssp245_near_2030s_typical_2034,1
Phoenix,ssp245,near_2030s,2039,2,heatwave_extreme;hot,phoenix_ssp245_near_2030s_heatwave_extreme_2039;phoenix_ssp245_near_2030s_hot_2039,1
Phoenix,ssp585,baseline_2020s,2025,2,heatwave_extreme;hot,phoenix_ssp585_baseline_2020s_heatwave_extreme_2025;phoenix_ssp585_baseline_2020s_hot_2025,1
Phoenix,ssp585,baseline_2020s,2029,1,typical,phoenix_ssp585_baseline_2020s_typical_2029,1
Phoenix,ssp585,late_2080s,2081,1,typical,phoenix_ssp585_late_2080s_typical_2081,1
Phoenix,ssp585,late_2080s,2085,1,heatwave_extreme,phoenix_ssp585_late_2080s_heatwave_extreme_2085,1
Phoenix,ssp585,late_2080s,2089,1,hot,phoenix_ssp585_late_2080s_hot_2089,1
Phoenix,ssp585,mid_2050s,2050,1,typical,phoenix_ssp585_mid_2050s_typical_2050,1
Phoenix,ssp585,mid_2050s,2057,2,heatwave_extreme;hot,phoenix_ssp585_mid_2050s_heatwave_extreme_2057;phoenix_ssp585_mid_2050s_hot_2057,1
Phoenix,ssp585,near_2030s,2033,2,heatwave_extreme;hot,phoenix_ssp585_near_2030s_heatwave_extreme_2033;phoenix_ssp585_near_2030s_hot_2033,1
Phoenix,ssp585,near_2030s,2034,1,typical,phoenix_ssp585_near_2030s_typical_2034,1
