scope,case_label,mu_lower,mu_upper,tail_threshold,occupied_probability_rows,boundary_rows,boundary_pct_of_occupied,boundary_high_tail_rows,boundary_high_tail_pct_of_boundary,boundary_high_tail_pct_of_occupied,all_high_tail_pct,boundary_mean_p_tail,boundary_median_p_tail,boundary_mean_abs_d_tail
all_cases,All cases,0.5,0.7,0.2,150336,6772,4.504576415495955,3574,52.77613703484938,2.3773414218816518,9.889181566624096,0.20355088987769104,0.20217876828932357,0.16644661656250845
weather_case,beijing ssp585 cmip direct 2025,0.5,0.7,0.2,16704,111,0.6645114942528735,22,19.81981981981982,0.13170498084291188,0.14966475095785442,0.18174346169807312,0.1806399451893696,0.14648669008153212
weather_case,beijing ssp585 cmip direct 2050,0.5,0.7,0.2,16704,378,2.2629310344827585,117,30.952380952380953,0.7004310344827587,5.070641762452107,0.18889002462584775,0.1857386972590464,0.1545010634750797
weather_case,beijing ssp585 cmip direct 2075,0.5,0.7,0.2,16704,525,3.1429597701149428,164,31.238095238095237,0.9818007662835249,6.267959770114942,0.1904459063518937,0.1893475711292204,0.15632485193163642
weather_case,houston ssp585 cmip direct 2025,0.5,0.7,0.2,16704,1228,7.351532567049808,392,31.921824104234524,2.346743295019157,10.422653256704981,0.19009161678624156,0.18904677839718653,0.1561177065798257
weather_case,houston ssp585 cmip direct 2050,0.5,0.7,0.2,16704,878,5.256226053639847,288,32.80182232346242,1.7241379310344827,8.854166666666668,0.1899018812972313,0.18856570020096808,0.1558788100640054
weather_case,houston ssp585 cmip direct 2075,0.5,0.7,0.2,16704,1115,6.675047892720307,484,43.408071748878925,2.8975095785440614,14.260057471264368,0.196533520393028,0.1959178959981559,0.16261592625267532
weather_case,phoenix ssp585 cmip direct 2025,0.5,0.7,0.2,16704,824,4.932950191570881,642,77.9126213592233,3.8433908045977008,10.75191570881226,0.21890272946710226,0.21947694669609735,0.17696196934123135
weather_case,phoenix ssp585 cmip direct 2050,0.5,0.7,0.2,16704,782,4.681513409961686,662,84.65473145780051,3.963122605363985,14.894636015325672,0.22577239143224126,0.22594274867229075,0.18353150970436435
weather_case,phoenix ssp585 cmip direct 2075,0.5,0.7,0.2,16704,931,5.573515325670498,803,86.25134264232008,4.807231800766284,18.330938697318008,0.22627011841924616,0.227313617279674,0.18390474273966123
