scope,delta,eta,matched_mean_pairs,tail_divergent_pairs,risk_threshold_crossing_pairs,tail_divergent_pct_of_matched,risk_threshold_crossing_pct_of_matched,tail_threshold
all_pairs,0.005,0.05,215683403,5514971,451690,2.5569751419398736,0.20942269721143078,0.2
all_pairs,0.005,0.1,215683403,2190,451690,0.0010153771544489216,0.20942269721143078,0.2
all_pairs,0.01,0.05,430976999,11040113,904902,2.5616478432994056,0.20996526545492047,0.2
all_pairs,0.01,0.1,430976999,4264,904902,0.0009893799460049606,0.20996526545492047,0.2
all_pairs,0.025,0.05,1071371092,27767729,2281343,2.591793749835468,0.21293677018494728,0.2
all_pairs,0.025,0.1,1071371092,12409,2281343,0.001158235469732088,0.21293677018494728,0.2
cross_weather_pairs,0.005,0.05,189971719,5063564,415848,2.665430426515223,0.21889995110272176,0.2
cross_weather_pairs,0.005,0.1,189971719,2068,415848,0.0010885830853591425,0.21889995110272176,0.2
cross_weather_pairs,0.01,0.05,379619665,10137101,832714,2.6703308428450354,0.21935481134782625,0.2
cross_weather_pairs,0.01,0.1,379619665,4040,832714,0.001064223055989473,0.21935481134782625,0.2
cross_weather_pairs,0.025,0.05,943989178,25507946,2095453,2.7021439010606962,0.22197849814757092,0.2
cross_weather_pairs,0.025,0.1,943989178,11790,2095453,0.0012489549959650067,0.22197849814757092,0.2
same_city_cross_year_pairs,0.005,0.05,50917790,860158,72066,1.6893074110247124,0.14153402965839643,0.2
same_city_cross_year_pairs,0.005,0.1,50917790,171,72066,0.0003358354712567061,0.14153402965839643,0.2
same_city_cross_year_pairs,0.01,0.05,101727388,1719584,144455,1.6903845009762761,0.14200207322732006,0.2
same_city_cross_year_pairs,0.01,0.1,101727388,345,144455,0.00033914170685282903,0.14200207322732006,0.2
same_city_cross_year_pairs,0.025,0.05,252562553,4311697,370055,1.7071798446700055,0.14652013752806814,0.2
same_city_cross_year_pairs,0.025,0.1,252562553,978,370055,0.000387230802184677,0.14652013752806814,0.2
