city,mu_bin,year_a,weather_a,month_a,day_a,time_a,expected_tsv_a,p_tail_a,d_tail_a,year_b,weather_b,month_b,day_b,time_b,expected_tsv_b,p_tail_b,d_tail_b,mu_gap,tail_gap,d_tail_gap
phoenix,0.42,2025,phoenix_ssp585_cmip_direct_2025,3,26,6.0,0.4116454895404314,0.115367378069681,0.0766618775387246,2075,phoenix_ssp585_cmip_direct_2075,8,2,8.0,0.4112688232857071,0.217317750854178,0.1595550219462906,0.0003766662547243227,0.101950372784497,0.082893144407566
houston,0.86,2025,houston_ssp585_cmip_direct_2025,8,20,8.75,0.853617287028161,0.2465000616326176,0.2182202399929512,2075,houston_ssp585_cmip_direct_2075,11,26,6.0,0.8655781500036858,0.3476651171233681,0.3133229510435519,0.011960862975524789,0.10116505549075053,0.0951027110506007
phoenix,0.2,2025,phoenix_ssp585_cmip_direct_2025,3,23,13.75,0.1901116901964709,0.0713151974869805,0.007458773195239,2075,phoenix_ssp585_cmip_direct_2075,10,4,12.75,0.2083855469327171,0.1719754058068664,0.0756043051492484,0.018273856736246208,0.10066020831988591,0.06814553195400941
beijing,0.06,2025,beijing_ssp585_cmip_direct_2025,6,28,18.0,0.0513934033217083,0.051114825473535,-0.0030753682479425,2075,beijing_ssp585_cmip_direct_2075,1,1,13.5,0.0648457772627678,0.1490941714487086,0.0776720916033436,0.013452373941059498,0.0979793459751736,0.08074745985128609
phoenix,1.44,2025,phoenix_ssp585_cmip_direct_2025,9,3,6.0,1.4327572458067392,0.4445887972618939,0.4373529898402015,2075,phoenix_ssp585_cmip_direct_2075,7,30,13.5,1.4403174158483467,0.5425385950981351,0.524087583419837,0.007560170041607472,0.09794979783624119,0.08673459357963548
phoenix,0.56,2025,phoenix_ssp585_cmip_direct_2025,11,12,6.0,0.5523126988898,0.1584892403082891,0.1229572586195045,2075,phoenix_ssp585_cmip_direct_2075,8,1,7.25,0.554212475350541,0.2553025405029689,0.2073932204926782,0.0018997764607410206,0.09681330019467982,0.08443596187317369
phoenix,0.28,2025,phoenix_ssp585_cmip_direct_2025,11,19,17.0,0.2776809669314696,0.0825485302084973,0.0447209930847613,2075,phoenix_ssp585_cmip_direct_2075,10,3,13.5,0.2787491629493742,0.1791846724696709,0.0928507809707256,0.001068196017904588,0.0966361422611736,0.0481297878859643
phoenix,0.64,2025,phoenix_ssp585_cmip_direct_2025,4,2,6.0,0.6329054389149519,0.1799965231284125,0.1444793364886409,2075,phoenix_ssp585_cmip_direct_2075,8,1,7.5,0.6374994817512977,0.2759871495363652,0.2323947798011304,0.004594042836345791,0.09599062640795272,0.08791544331248952
phoenix,0.36,2025,phoenix_ssp585_cmip_direct_2025,3,5,14.0,0.351889093686704,0.1140367166402528,0.0829468248708514,2075,phoenix_ssp585_cmip_direct_2075,8,2,7.75,0.367852820445928,0.2085783064217586,0.1489957553226752,0.015963726759223973,0.09454158978150579,0.0660489304518238
phoenix,0.26,2025,phoenix_ssp585_cmip_direct_2025,4,24,17.0,0.2502328693138254,0.0780762329115587,0.0383016457657125,2075,phoenix_ssp585_cmip_direct_2075,10,4,13.75,0.2678903428140328,0.1718793537816377,0.0857489605769298,0.01765747350020741,0.09380312087007901,0.04744731481121729
