strategy,bin_width,mu_bin_left,mu_bin_right,mu_bin_center,rows,p_tail_q05,p_tail_q25,p_tail_median,p_tail_q75,p_tail_q95,p_tail_iqr,p_tail_90pct_spread,high_tail_pct
ordinal,0.05,-0.35000000000000003,-0.30000000000000004,-0.325,104,0.06426903069648325,0.07883682950225038,0.0825448972400789,0.08454022951790856,0.08712893805707544,0.0057034000156581804,0.022859907360592194,0.0
ordinal,0.05,-0.30000000000000004,-0.25000000000000006,-0.275,212,0.06471459780525718,0.07690454216245618,0.0819514513769856,0.08861717937053484,0.0963207857100126,0.011712637208078663,0.03160618790475542,0.0
ordinal,0.05,-0.25,-0.2,-0.225,431,0.06284943136637039,0.07476017994878326,0.08243986740364731,0.08965601474224386,0.10201963065555494,0.0148958347934606,0.039170199289184554,0.0
ordinal,0.05,-0.2,-0.15000000000000002,-0.17500000000000002,1434,0.05611358274832955,0.06298184569963577,0.07459266787291399,0.08726621125784187,0.09907671818116333,0.024284365558206095,0.042963135432833775,0.0
ordinal,0.05,-0.15000000000000002,-0.10000000000000002,-0.12500000000000003,5516,0.04526496362719538,0.047644356948007296,0.055612975115652996,0.06972140193423382,0.0949287535534179,0.02207704498622652,0.04966378992622252,0.0
ordinal,0.05,-0.1,-0.05,-0.07500000000000001,10395,0.047149941920235694,0.049741673206123604,0.055517630859849,0.066824322067672,0.09516959382431935,0.017082648861548394,0.04801965190408365,0.0
ordinal,0.05,-0.05,0.0,-0.025,15642,0.05135791900868878,0.056017142354914756,0.06496400599648441,0.07851406473725903,0.09891007269501452,0.02249692238234427,0.04755215368632574,0.0
ordinal,0.05,0.0,0.05,0.025,23365,0.05534661990531558,0.059379288994460794,0.0672511282305024,0.0815136217829753,0.10107956359136303,0.02213433278851451,0.045732943686047446,0.0
ordinal,0.05,0.05,0.1,0.07500000000000001,25687,0.05839253901972009,0.06230015352206125,0.06785655433416321,0.08025456746138834,0.09453717697948939,0.01795441393932709,0.036144637959769306,0.0
ordinal,0.05,0.1,0.15000000000000002,0.125,17487,0.06159683556705804,0.06829469595961915,0.07689462823789431,0.08578363879542285,0.10021538033532189,0.017488942835803697,0.038618544768263846,0.0
ordinal,0.05,0.15000000000000002,0.2,0.17500000000000002,10728,0.06508561967320703,0.07669312377879922,0.08398878473918636,0.09366207270928055,0.11574755972929482,0.01696894893048133,0.05066194005608779,0.0
ordinal,0.05,0.2,0.25,0.225,6947,0.07907052629590909,0.0871625444392165,0.09548883650128859,0.10885664588706251,0.13083160768787633,0.021694101447846004,0.05176108139196724,0.0
ordinal,0.05,0.25,0.3,0.275,4682,0.08863748486248108,0.09854942077828453,0.1078321004833895,0.1208606656143463,0.14691164662147535,0.02231124483606177,0.058274161758994275,0.0
ordinal,0.05,0.30000000000000004,0.35000000000000003,0.32500000000000007,3328,0.10104549711197851,0.11125258891682663,0.1190074883685929,0.13194874640657964,0.16084701571110416,0.02069615748975301,0.05980151859912565,0.030048076923076924
ordinal,0.05,0.35000000000000003,0.4,0.37500000000000006,2580,0.1159522188573275,0.12445555128760416,0.13317485077610225,0.14774765101153903,0.17426664772385095,0.023292099723934867,0.05831442886652345,0.15503875968992248
ordinal,0.05,0.4,0.45,0.42500000000000004,1990,0.1281574313841373,0.13986705888519502,0.14939740156979558,0.16870654825701836,0.19044791119152737,0.028839489371823346,0.06229047980739008,1.507537688442211
ordinal,0.05,0.45,0.5,0.47500000000000003,1872,0.14041146351320866,0.15224188251859277,0.16256053275178778,0.18024328826275357,0.20196018253511447,0.028001405744160796,0.06154871902190581,6.570512820512821
ordinal,0.05,0.5,0.55,0.525,1860,0.1557613922148154,0.1664174825246452,0.17756138554122225,0.19667442480458086,0.21763069377353533,0.030256942279935667,0.06186930155871995,20.483870967741936
ordinal,0.05,0.55,0.6000000000000001,0.5750000000000001,1744,0.1684869547168347,0.17998382666318458,0.19262782962454295,0.21222114326469926,0.23355345071804423,0.03223731660151469,0.06506649600120953,39.162844036697244
ordinal,0.05,0.6000000000000001,0.6500000000000001,0.6250000000000001,1659,0.18407750175874604,0.19556534606444545,0.207458988565427,0.22697827689303374,0.24735832450314452,0.03141293082858829,0.06328082274439847,65.03918022905366
ordinal,0.05,0.65,0.7000000000000001,0.675,1509,0.19992676575565765,0.2126282810132719,0.2271587199954137,0.2468958816365091,0.26254818612146236,0.03426760062323719,0.0626214203658047,94.83101391650099
ordinal,0.05,0.7000000000000001,0.7500000000000001,0.7250000000000001,1409,0.21678523161665197,0.229229368895573,0.24142029290699518,0.2611119638672019,0.27772524397845655,0.03188259497162893,0.060940012361804574,100.0
